run_id,scenario_id,seed,local_detection_rate,false_campaign_rate,incorrect_merging,benign_candidate_rate,correct_no_attack_rate
strong_campaign_cs5_seed101_20260614T202039,Strong Coordinated Campaign,101,1.0,,0.0,1.0,
strong_campaign_cs10_seed101_20260614T202041,Strong Coordinated Campaign,101,1.0,,0.0,1.0,
weak_campaign_cs2_seed11_20260614T202042,Weak Coordinated Campaign,11,1.0,,0.0,1.0,
weak_campaign_cs5_seed11_20260614T202044,Weak Coordinated Campaign,11,1.0,,0.0,1.0,
weak_campaign_cs10_seed11_20260614T202046,Weak Coordinated Campaign,11,1.0,,0.0,1.0,
weak_campaign_cs2_seed23_20260614T202048,Weak Coordinated Campaign,23,1.0,,0.0,1.0,
weak_campaign_cs5_seed23_20260614T202049,Weak Coordinated Campaign,23,1.0,,0.0,1.0,
weak_campaign_cs10_seed23_20260614T202051,Weak Coordinated Campaign,23,1.0,,0.0,1.0,
weak_campaign_cs2_seed37_20260614T202053,Weak Coordinated Campaign,37,1.0,,0.0,1.0,
weak_campaign_cs5_seed37_20260614T202054,Weak Coordinated Campaign,37,1.0,,0.0,1.0,
weak_campaign_cs10_seed37_20260614T202056,Weak Coordinated Campaign,37,1.0,,0.0,1.0,
weak_campaign_cs2_seed41_20260614T202058,Weak Coordinated Campaign,41,1.0,,0.0,1.0,
weak_campaign_cs5_seed41_20260614T202100,Weak Coordinated Campaign,41,1.0,,0.0,1.0,
weak_campaign_cs10_seed41_20260614T202101,Weak Coordinated Campaign,41,1.0,,0.0,1.0,
weak_campaign_cs2_seed53_20260614T202103,Weak Coordinated Campaign,53,1.0,,0.0,1.0,
weak_campaign_cs5_seed53_20260614T202105,Weak Coordinated Campaign,53,1.0,,0.0,1.0,
weak_campaign_cs10_seed53_20260614T202107,Weak Coordinated Campaign,53,1.0,,0.0,1.0,
weak_campaign_cs2_seed67_20260614T202108,Weak Coordinated Campaign,67,1.0,,0.0,1.0,
weak_campaign_cs5_seed67_20260614T202110,Weak Coordinated Campaign,67,1.0,,0.0,1.0,
weak_campaign_cs10_seed67_20260614T202112,Weak Coordinated Campaign,67,1.0,,0.0,1.0,
weak_campaign_cs2_seed71_20260614T202114,Weak Coordinated Campaign,71,1.0,,0.0,1.0,
weak_campaign_cs5_seed71_20260614T202115,Weak Coordinated Campaign,71,1.0,,0.0,1.0,
weak_campaign_cs10_seed71_20260614T202117,Weak Coordinated Campaign,71,1.0,,0.0,1.0,
weak_campaign_cs2_seed83_20260614T202119,Weak Coordinated Campaign,83,1.0,,0.0,1.0,
weak_campaign_cs5_seed83_20260614T202121,Weak Coordinated Campaign,83,1.0,,0.0,1.0,
weak_campaign_cs10_seed83_20260614T202122,Weak Coordinated Campaign,83,1.0,,0.0,1.0,
weak_campaign_cs2_seed97_20260614T202124,Weak Coordinated Campaign,97,1.0,,0.0,1.0,
weak_campaign_cs5_seed97_20260614T202126,Weak Coordinated Campaign,97,1.0,,0.0,1.0,
weak_campaign_cs10_seed97_20260614T202128,Weak Coordinated Campaign,97,1.0,,0.0,1.0,
weak_campaign_cs2_seed101_20260614T202129,Weak Coordinated Campaign,101,1.0,,0.0,1.0,
weak_campaign_cs5_seed101_20260614T202131,Weak Coordinated Campaign,101,1.0,,0.0,1.0,
weak_campaign_cs10_seed101_20260614T202133,Weak Coordinated Campaign,101,1.0,,0.0,1.0,
