method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
descriptor_clustering,101,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,27,,0.1107630410115234,0.0339084999868646,,0.0017208750068675
standard_gnn,41,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1235212500032503,0.0334045839845202,0.0248060419980902,0.0026283750194124
fcgnn,23,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1049029169953428,0.0330429580062627,0.0078616249957121,0.0016636670043226
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0652514160028658,,,
local_ids,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0597614589787554,,,
fcgnn,37,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1395644170115701,0.0320064589905086,0.0413067499757744,0.0018133330158889
fcgnn,101,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,182,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1490155000064987,0.0335103750112466,0.0299068329914007,0.0024196250014938
standard_gnn,37,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,176,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1191096659749746,0.0324952500232029,0.0234987919975537,0.0014794590242672
fcgnn,53,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,172,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.5,1,0,0,10,,0.1265758750087116,0.0318593340052757,0.0282334590156096,0.0024707079865038
descriptor_clustering,11,S0_benign_control,0,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,30,,0.1075652499857824,0.0335967910068575,,0.0025818329886533
