method,scenario_key,campaign_size,coordination_strength,seed_mean,seed_std,seed_count,campaign_size_mean,campaign_size_std,campaign_size_count,coordination_strength_mean,coordination_strength_std,coordination_strength_count,tp_mean,tp_std,tp_count,fp_mean,fp_std,fp_count,tn_mean,tn_std,tn_count,fn_mean,fn_std,fn_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,fpr_mean,fpr_std,fpr_count,fnr_mean,fnr_std,fnr_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,weak_malicious_recovered_mean,weak_malicious_recovered_std,weak_malicious_recovered_count,weak_benign_promoted_mean,weak_benign_promoted_std,weak_benign_promoted_count,vehicle_precision_mean,vehicle_precision_std,vehicle_precision_count,vehicle_recall_mean,vehicle_recall_std,vehicle_recall_count,vehicle_f1_mean,vehicle_f1_std,vehicle_f1_count,attacked_vehicles_recovered_mean,attacked_vehicles_recovered_std,attacked_vehicles_recovered_count,benign_vehicles_incorrectly_included_mean,benign_vehicles_incorrectly_included_std,benign_vehicles_incorrectly_included_count,campaign_detection_rate_mean,campaign_detection_rate_std,campaign_detection_rate_count,campaign_precision_mean,campaign_precision_std,campaign_precision_count,campaign_recall_mean,campaign_recall_std,campaign_recall_count,campaign_f1_mean,campaign_f1_std,campaign_f1_count,false_campaign_alert_rate_mean,false_campaign_alert_rate_std,false_campaign_alert_rate_count,n_detected_campaign_clusters_mean,n_detected_campaign_clusters_std,n_detected_campaign_clusters_count,n_ground_truth_campaigns_mean,n_ground_truth_campaigns_std,n_ground_truth_campaigns_count,incorrect_campaign_merging_mean,incorrect_campaign_merging_std,incorrect_campaign_merging_count,coordinated_events_mean,coordinated_events_std,coordinated_events_count,runtime_local_ids_sec_mean,runtime_local_ids_sec_std,runtime_local_ids_sec_count,runtime_total_sec_mean,runtime_total_sec_std,runtime_total_sec_count,runtime_graph_construction_sec_mean,runtime_graph_construction_sec_std,runtime_graph_construction_sec_count,runtime_gnn_inference_sec_mean,runtime_gnn_inference_sec_std,runtime_gnn_inference_sec_count,runtime_clustering_sec_mean,runtime_clustering_sec_std,runtime_clustering_sec_count
descriptor_clustering,S3_strong_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.36507936507936506,0.1122391716169123,2,1.0,0.0,2,0.5299145299145299,0.12087295404898252,2,1.0,0.0,2,0.0,0.0,2,0.6408680555555555,0.18652887632050133,2,0.5643824076618582,0.2779402093290325,2,0.0,0.0,2,175.5,20.506096654409877,2,0.5,0.2357022603955158,2,1.0,0.0,2,0.65,0.21213203435596428,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,2.0,0.0,2,1.0,0.0,2,0.0,0.0,2,45.0,15.556349186104045,2,,,0,0.47660281250136904,0.21188952574425812,2,0.0455208125058561,0.006180555205752487,2,,,0,0.0021245210082269502,0.00042694543514567755,2
descriptor_clustering,S3_strong_campaign,2,1.0,11.0,0.0,2,2.0,0.0,2,1.0,0.0,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.36507936507936506,0.1122391716169123,2,1.0,0.0,2,0.5299145299145299,0.12087295404898252,2,1.0,0.0,2,0.0,0.0,2,0.6408680555555555,0.18652887632050133,2,0.5643824076618582,0.2779402093290325,2,0.0,0.0,2,175.5,20.506096654409877,2,0.5,0.23570226039551584,2,1.0,0.0,2,0.65,0.21213203435596428,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,0.4917166874947725,0.23371638046095072,2,0.0491592085018055,0.008763705360835384,2,,,0,0.00232793750183185,0.0005956490828744195,2
descriptor_clustering,S3_strong_campaign,5,0.75,11.0,0.0,2,5.0,0.0,2,0.75,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.606060606060606,0.08570991287109664,2,1.0,0.0,2,0.7529411764705882,0.0665512264646162,2,1.0,0.0,2,0.0,0.0,2,0.7803467592592592,0.15807044729174724,2,0.8306267600767134,0.17101767326010373,2,0.0,0.0,2,176.0,0.0,2,0.8333333333333333,0.23570226039551584,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,4.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,309.0,128.69343417595164,2,,,0,1.1221271040121792,0.508117593477403,2,0.0780785624956479,0.01845239338549399,2,,,0,0.0041266045009251,0.0016903097727644007,2
descriptor_clustering,S3_strong_campaign,5,1.0,11.0,0.0,2,5.0,0.0,2,1.0,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.606060606060606,0.08570991287109671,2,1.0,0.0,2,0.7529411764705882,0.06655122646461627,2,1.0,0.0,2,0.0,0.0,2,0.7803467592592592,0.15807044729174716,2,0.8306267600767134,0.17101767326010364,2,0.0,0.0,2,176.0,0.0,2,0.8333333333333333,0.23570226039551592,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,1.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,243.0,172.5340546095176,2,,,0,1.0826016244973289,0.44679962052959854,2,0.0759139374858932,0.01602183122389469,2,,,0,0.00351681199390435,0.0003740891712098636,2
descriptor_clustering,S3_strong_campaign,10,0.75,11.0,0.0,2,10.0,0.0,2,0.75,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.8283769926354061,0.17323358077358503,2,1.0,0.0,2,0.9012017143337349,0.10410804901864185,2,1.0,0.0,2,0.0,0.0,2,0.8189333557347671,0.21723305578843513,2,0.9062881140508141,0.13034807367289744,2,0.0,0.0,2,112.0,96.16652224137046,2,0.8333333333333333,0.23570226039551592,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,3.0,1.4142135623730951,2,1.0,0.0,2,0.0,0.0,2,276.0,118.79393923933998,2,,,0,1.965756166508072,0.8512341763963778,2,0.10423020849702874,0.01551828350056957,2,,,0,0.00502902051084665,0.000678970294873597,2
descriptor_clustering,S3_strong_campaign,10,1.0,11.0,0.0,2,10.0,0.0,2,1.0,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.8283769926354061,0.17323358077358503,2,1.0,0.0,2,0.9012017143337349,0.10410804901864185,2,1.0,0.0,2,0.0,0.0,2,0.8189333557347671,0.21723305578843513,2,0.9062881140508141,0.13034807367289744,2,0.0,0.0,2,112.0,96.16652224137046,2,0.8333333333333333,0.23570226039551592,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,530.5,750.240294838927,2,,,0,2.0260946459893603,0.8332180678830826,2,0.1056435415084706,0.022149471514091124,2,,,0,0.0065395415003876994,0.00133484012433716,2
fcgnn,S3_strong_campaign,2,0.75,11.0,0.0,2,2.0,0.0,2,0.75,0.0,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.36507936507936506,0.1122391716169123,2,1.0,0.0,2,0.5299145299145299,0.12087295404898252,2,1.0,0.0,2,0.0,0.0,2,0.6408680555555555,0.18652887632050133,2,0.5643824076618582,0.2779402093290325,2,0.0,0.0,2,175.5,20.506096654409877,2,0.5,0.2357022603955158,2,1.0,0.0,2,0.65,0.21213203435596428,2,1.5,0.7071067811865476,2,1.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,1.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,35.5,28.991378028648448,2,,,0,0.537906520999968,0.24237967667631438,2,0.0498313335119746,0.0070285233325343395,2,0.0509044164937222,0.021638823055188224,2,0.00354514550417655,0.001248425996317746,2
fcgnn,S3_strong_campaign,2,1.0,15.0,6.196773353931867,6,2.0,0.0,6,1.0,0.0,6,1.5,0.5477225575051662,6,1.5,0.5477225575051662,6,0.0,0.0,6,0.0,0.0,6,0.36507936507936506,0.08694008849288351,6,1.0,0.0,6,0.5299145299145299,0.09362778760772071,6,1.0,0.0,6,0.0,0.0,6,0.6420578703703703,0.14416753623604875,6,0.5637561964930534,0.2124193083383424,6,0.0,0.0,6,175.33333333333334,12.987173159185438,6,0.5,0.18257418583505539,6,1.0,0.0,6,0.65,0.16431676725154987,6,1.5,0.5477225575051662,6,1.5,0.5477225575051662,6,0.5,0.5477225575051661,6,0.3333333333333333,0.5163977794943223,6,0.5,0.5477225575051661,6,0.3333333333333333,0.5163977794943223,6,0.5,0.5477225575051661,6,0.6666666666666666,0.816496580927726,6,1.0,0.0,6,0.0,0.0,6,23.166666666666668,26.30906054321717,6,,,0,0.5144099863391602,0.17330426067235616,6,0.049648909669485826,0.005873795314977548,6,0.030543736012380834,0.026005943698453663,6,0.0045323958377896665,0.002421003938744457,6
fcgnn,S3_strong_campaign,5,0.75,11.0,0.0,2,5.0,0.0,2,0.75,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.606060606060606,0.08570991287109671,2,1.0,0.0,2,0.7529411764705882,0.06655122646461627,2,1.0,0.0,2,0.0,0.0,2,0.7803467592592592,0.15807044729174716,2,0.8306267600767134,0.17101767326010364,2,0.0,0.0,2,176.0,0.0,2,0.8333333333333333,0.23570226039551592,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2,1.0,0.0,2,4.5,0.7071067811865476,2,1.0,0.0,2,0.0,0.0,2,117.5,14.849242404917497,2,,,0,1.1273037499922793,0.48982023254086765,2,0.07272914551140269,0.01837991496476213,2,0.08585981250507754,0.028351828926494748,2,0.00445464550284665,0.0010029425826646873,2
fcgnn,S3_strong_campaign,5,1.0,11.0,0.0,2,5.0,0.0,2,1.0,0.0,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,0.0,0.0,2,0.0,0.0,2,0.606060606060606,0.08570991287109671,2,1.0,0.0,2,0.7529411764705882,0.06655122646461627,2,1.0,0.0,2,0.0,0.0,2,0.7803467592592592,0.15807044729174716,2,0.8306267600767134,0.17101767326010364,2,0.0,0.0,2,176.0,0.0,2,0.8333333333333333,0.23570226039551592,2,1.0,0.0,2,0.9,0.14142135623730948,2,2.5,0.7071067811865476,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,0.5,0.7071067811865476,2,1.0,0.0,2,2.5,2.1213203435596424,2,1.0,0.0,2,0.0,0.0,2,82.5,84.14570696119915,2,,,0,1.1388676455098903,0.4942397383369997,2,0.07416858349461106,0.017883849829931922,2,0.08636949998617635,0.01625532422957765,2,0.0045080210111336,0.0006954098089600601,2
