method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
descriptor_clustering,53,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7817083333333332,0.7706781466964057,0,172,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0572385830164421,,0.0027192499837838,0.6805220840033144,
descriptor_clustering,83,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7886944444444445,0.7720315783965097,0,186,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,3,1,0,74,0.0534737500129267,,0.0027644579822663,0.6393525829771534,
local_ids,83,S3_strong_campaign,10,1.0,3,0,0,0,0.9478672985781992,1.0,0.97323600973236,1.0,0.0,0.9655176767676767,0.9980031584704078,0,40,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.444468332978431,0.0
descriptor_clustering,97,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8878777777777779,0.9505608622042628,0,184,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0,351,0.0936006659758277,,0.0041349579987581,1.3373080839810427,
fcgnn,53,S3_strong_campaign,10,0.75,3,0,0,0,0.9441384736428008,1.0,0.971266693646297,1.0,0.0,0.9624178403755868,0.9976379384274864,0,40,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,11,1,0,347,0.1121419170231092,0.1062448339944239,0.0073526249907445,2.7382320830074605,
local_ids,11,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780368,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2211559170100372,0.0
descriptor_clustering,11,S3_strong_campaign,10,0.75,2,1,0,0,0.7058823529411765,1.0,0.8275862068965517,1.0,0.0,0.665326388888889,0.8141181072421046,0,180,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,1,0,360,0.0932571250014007,,0.0045489160111173,1.3638427080004476,
local_ids,11,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780368,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2559674580115825,0.0
local_ids,37,S3_strong_campaign,10,0.75,3,0,0,0,0.9441384736428008,1.0,0.971266693646297,1.0,0.0,0.969800469483568,0.9980967494405444,0,51,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.4816405410238076,0.0
standard_gnn,11,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,27,0.0546578749781474,0.069495999981882,0.00419120900915,0.7245353749895003,
fcgnn,11,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,1,0,128,0.0854996250127442,0.093323875014903,0.0045755000028293,1.4233598749851808,
descriptor_clustering,101,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7817500000000001,0.774935130344403,0,175,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0592103340022731,,0.0027141660102643,0.6807625830115285,
fcgnn,37,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8937833333333333,0.9537919513908824,0,170,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,3,1,0,105,0.0823664999916218,0.0767734999826643,0.0048653330013621,1.4487205000186805,
fcgnn,97,S3_strong_campaign,10,1.0,3,0,0,0,0.9486166007905138,1.0,0.973630831643002,1.0,0.0,0.9615897435897436,0.9977003086254695,0,45,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,239,0.1156263749871868,0.1247425840119831,0.0061045000038575,2.758516999980202,
descriptor_clustering,23,S3_strong_campaign,10,1.0,3,0,0,0,0.9375,1.0,0.967741935483871,1.0,0.0,0.9479166666666666,0.9961354851779148,0,47,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0,1064,0.117506874987157,,0.0070895829994697,2.639959749998525,
standard_gnn,101,S3_strong_campaign,10,1.0,3,0,0,0,0.947119179163378,1.0,0.9728415079043372,1.0,0.0,0.9588930348258706,0.997487404736333,0,39,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,646,0.1188277500041294,0.1130513330281246,0.0080213330220431,2.76795595799922,
fcgnn,41,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8898472222222222,0.9512033050460976,0,188,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,153,0.0908668749907519,0.0904909169767052,0.0053445830126293,1.4486871669942047,
local_ids,83,S3_strong_campaign,10,0.75,3,0,0,0,0.9478672985781992,1.0,0.97323600973236,1.0,0.0,0.9655176767676767,0.9980031584704078,0,40,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.443628707987955,0.0
descriptor_clustering,53,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8917916666666668,0.95317938360953,0,187,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,1,0,442,0.0911399999749846,,0.0037511660193558,1.3666320829943288,
descriptor_clustering,101,S3_strong_campaign,10,1.0,3,0,0,0,0.947119179163378,1.0,0.9728415079043372,1.0,0.0,0.9588930348258706,0.997487404736333,0,39,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.1174985410179942,,0.008081999985734,2.663410417007981,
standard_gnn,41,S3_strong_campaign,10,1.0,3,0,0,0,0.9538950715421304,1.0,0.9764035801464606,1.0,0.0,0.947492816091954,0.9972183208925272,0,32,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,478,0.1152515830181073,0.1199930419970769,0.0069301670009735,2.7384097080212086,
local_ids,11,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780368,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2682285409828182,0.0
local_ids,41,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.955102777777778,0.9770249409371276,0,188,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.262137666984927,0.0
local_ids,67,S3_strong_campaign,10,1.0,3,0,0,0,0.9584664536741214,1.0,0.9787928221859706,1.0,0.0,0.9645833333333332,0.9983888213402003,0,29,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.505648457998177,0.0
