run_id,seed,campaign_size,fleet_size,total_nodes,experiment_group,method,framework_config,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,n_true_campaign_clusters,n_predicted_campaign_clusters,false_campaign_cluster_count,missed_campaign_count,membership_precision,membership_recall,membership_f1,membership_purity,completeness,attacked_vehicles_correctly_included,attacked_vehicles_missed,benign_vehicles_included,predicted_campaign_size,true_campaign_size,fragmentation_rate,fragments_per_true_campaign,incorrect_merging_rate,unrelated_clusters_merged,dbscan_noise_percentage,largest_cluster_size,connected_component_count,unique_edges,pyg_stored_edges,average_degree,median_degree,graph_density,isolated_node_percentage,cross_vehicle_edges,cross_vehicle_edge_percentage,largest_connected_component,graph_build_time,gnn_inference_time,clustering_time,end_to_end_latency,peak_memory,total_descriptors,candidate_nodes,malicious_candidates,benign_candidates,weak_malicious_candidates,strong_malicious_candidates,benign_below_threshold,candidate_precision,candidate_recall,correctly_filtered_benign,benign_incorrectly_promoted,source_windows,malicious_source_windows,benign_source_windows,clearly_benign_filtered,scenario_id,attack_strength,expect_campaign,graph_nodes,candidate_transmission_rate,transmission_percentage,strong_candidates,weak_candidates,same_vehicle_edges,incorrect_merging,false_campaign_rate,local_detection_rate,malicious_cross_vehicle_edge_purity,test_condition,scenario_key
isolated_attack_cs0_seed11_20260614T201940,11,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,25.0,11,13,12.0,,1.2,,0.06315789473684211,55.0,0.0,0.0,5,0.03978470899164677,0.05740387493278831,0.008422707905992866,0.12470208294689655,0.27553653717041016,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,12.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed23_20260614T201940,23,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,35.0,9,13,10.0,,1.0,,0.05263157894736842,55.0,0.0,0.0,7,0.03812958300113678,0.05458854103926569,0.007512332987971604,0.12140987499151379,0.27336692810058594,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,10.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed37_20260614T201941,37,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,20.0,12,12,12.0,,1.2,,0.06315789473684211,50.0,0.0,0.0,8,0.03955087496433407,0.0537732089869678,0.0070899579441174865,0.12000070803333074,0.27390384674072266,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,12.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed41_20260614T201941,41,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,10.0,11,11,13.0,,1.3,,0.06842105263157895,40.0,0.0,0.0,8,0.038936082972213626,0.05372779199387878,0.010166708030737936,0.1229427499929443,0.2739286422729492,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,13.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed53_20260614T201942,53,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,40.0,8,11,13.0,,1.3,,0.06842105263157895,40.0,0.0,0.0,7,0.10521883296314627,0.07043745904229581,0.007806917070411146,0.20300837501417845,0.2741403579711914,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,13.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed67_20260614T201942,67,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,10.0,12,13,10.0,,1.0,,0.05263157894736842,55.0,0.0,0.0,7,0.04067474999465048,0.054899875074625015,0.008556541986763477,0.1256162910722196,0.27309417724609375,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,10.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed71_20260614T201942,71,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,35.0,9,12,12.0,,1.2,,0.06315789473684211,45.0,1.0,8.333333333333334,7,0.041165708913467824,0.056126417010091245,0.00775570806581527,0.12638829206116498,0.2741689682006836,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,11.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed83_20260614T201943,83,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,25.0,8,11,12.0,,1.2,,0.06315789473684211,40.0,0.0,0.0,8,0.04145562497433275,0.059478041948750615,0.010417958023026586,0.13376295799389482,0.27568721771240234,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,12.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed97_20260614T201943,97,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,20.0,12,14,9.0,,0.9,,0.04736842105263158,60.0,0.0,0.0,6,0.038835917017422616,0.057804874959401786,0.008709083078429103,0.12600074999500066,0.2733745574951172,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,9.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
isolated_attack_cs0_seed101_20260614T201944,101,5,20,20,Isolated Single-Vehicle Attack,fcgnn,C3,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,5,0.0,0.0,0.0,0,30.0,8,11,12.0,,1.2,,0.06315789473684211,45.0,0.0,0.0,9,0.04073854198213667,0.05479700001887977,0.008957791957072914,0.12447670800611377,0.2738628387451172,20,20,10,10,0,10,0,0.5,1.0,0,10,20,10,10,0,Isolated Single-Vehicle Attack,n/a,0,20,1.0,100.0,10,0,12.0,0.0,0.0,1.0,,Isolated Single-Vehicle Attack,isolated_attack
