metric,value
raw_window_bytes,1600.0
descriptor_bytes,741.0
compression_ratio,2.1592442645074224
bandwidth_reduction,0.536875
payload_bytes_transmitted,0.0
can_id_transmitted,0.0
fleet_candidate_rate,1.0
