method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec
standard_gnn,11,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8860526315789474,0.3331095974281385,0,103,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,60,0.031100292049814,0.1831936669768765,0.0107036249828524,1.236930167011451,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.288728436736523,12.145340650280485,11.549667328595309,-3.91842761607186,16.063768266352344,0,0,0.0,535.0,1070.0,undirected_nx_bidirectional_pyg,5.35,4.5,0.02688442,28.0,14.0,39.0,124.0,75.0,460.0,14.0187,0.95,10.0,5.0,0.030704,campaign_size_corrected_strong_n2_standard_gnn_seed11_20260611T122701_eaa74532,
descriptor_clustering,83,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8670857142857142,0.4103823791529119,0,102,0.25,1.0,0.4,5,15,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0289590419852174,,0.001592457992956,1.063937166996766,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.37207707440465,12.194986777442708,11.313948233498088,4.355681650124297,7.83930512731841,0,0,0.0,676.0,1352.0,undirected_nx_bidirectional_pyg,6.76,4.5,0.03396985,26.0,13.0,38.0,93.0,87.0,589.0,12.8698,0.95,10.0,5.0,0.028589,campaign_size_corrected_strong_n5_descriptor_clustering_seed83_20260611T122816_9b02d21d,
local_ids,83,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1463157894736842,0.0311216467568626,10,96,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.0202750839525834,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.147123873492228,10.123857958274924,9.027071171201818,1.8417917028379984,8.282066255436925,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_weak_n2_local_ids_seed83_20260611T122948_d7fe48d1,0.0
local_ids,23,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8073684210526315,0.2304732630436855,0,100,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.011894166993443,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Hyundai=1",13.062333131708334,12.444172538076211,12.488658095525814,1.215649706027496,11.228522832048718,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n2_local_ids_seed23_20260611T122704_0b170656,0.0
descriptor_clustering,97,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.818,0.5144007693967566,0,82,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,3,1,0,103,0.0321537909912876,,0.0013629579916596,1.1266317500267178,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.10644689874417,200.92453164240467,200.092705352627,95.86401492294328,105.0605167194614,0,0,0.0,944.0,1888.0,undirected_nx_bidirectional_pyg,9.44,11.5,0.04743719,17.0,8.5,31.0,100.0,268.0,676.0,28.3898,0.95,10.0,5.0,0.031741,campaign_size_corrected_strong_n10_descriptor_clustering_seed97_20260611T122908_52fc4499,
local_ids,71,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8213157894736842,0.178911259126076,0,105,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.088921541988384,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.401129269839362,12.41730489544279,11.381942598101736,1.598194684601112,10.81911021084168,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n2_local_ids_seed71_20260611T122726_8d3f38f1,0.0
standard_gnn,23,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2436571428571428,0.0827801187040071,25,86,0.25,1.0,0.4,5,15,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0310922089847736,0.0311077499645762,0.0014618749846704,1.1005119999754245,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",13.105678737444496,13.1168229937943,12.392908592248665,1.736617762131846,11.380205231662456,0,0,0.0,550.0,1100.0,undirected_nx_bidirectional_pyg,5.5,4.0,0.02763819,17.0,8.5,27.0,105.0,90.0,460.0,16.3636,0.95,10.0,5.0,0.030729,campaign_size_corrected_weak_n5_standard_gnn_seed23_20260611T123008_3f224725,
fcgnn,11,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8860526315789474,0.3331095974281385,0,103,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,52,0.0331701670074835,0.0520446670125238,0.0028208339936099,1.1899131249519996,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.288728436736523,12.145340650280485,11.549667328595309,-3.91842761607186,16.063768266352344,0,0,0.0,535.0,1070.0,undirected_nx_bidirectional_pyg,5.35,4.5,0.02688442,28.0,14.0,39.0,124.0,75.0,460.0,14.0187,0.95,10.0,5.0,0.032788,campaign_size_corrected_strong_n2_fcgnn_seed11_20260611T122703_3912574d,
descriptor_clustering,71,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8213157894736842,0.178911259126076,0,105,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,24,0.0293726670206524,,0.0014973750221543,1.0476443340303376,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.401129269839362,12.41730489544279,11.381942598101736,1.598194684601112,10.81911021084168,0,0,0.0,446.0,892.0,undirected_nx_bidirectional_pyg,4.46,4.0,0.02241206,16.0,8.0,27.0,129.0,52.0,394.0,11.6592,0.95,10.0,5.0,0.028999,campaign_size_corrected_strong_n2_descriptor_clustering_seed71_20260611T122727_68aff24b,
local_ids,37,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.7941333333333334,0.4738805763448731,0,76,0.5,1.0,0.6666666666666666,10,10,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.10220537497662,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",200.90739431389335,200.77605408684744,199.80884549124784,93.86608716770375,106.90996691914368,0,0,0.0,,,,,,,,,,,,,,,,,,campaign_size_corrected_strong_n10_local_ids_seed37_20260611T122839_bff3ae72,0.0
