run_id,seed,attack_strength,campaign_size,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_total_sec
campaign_size_corrected_weak_n2_fcgnn_seed67_20260611T122942_6e77bac2,67,weak,2,0.0295481669600121,0.0342559589771553,1.092120708024595
campaign_size_corrected_weak_n10_fcgnn_seed41_20260611T123105_6756659c,41,weak,10,0.030682708020322,0.0399937079637311,1.1707190420129336
campaign_size_corrected_strong_n2_fcgnn_seed41_20260611T122716_943b82bc,41,strong,2,0.030815917009022,0.0395467499620281,1.096030416956637
campaign_size_corrected_strong_n10_fcgnn_seed11_20260611T122833_90e565a7,11,strong,10,0.0317117910017259,0.0421938330400735,1.1639679579529911
campaign_size_corrected_weak_n10_fcgnn_seed67_20260611T123114_6c8c96c6,67,weak,10,0.033917166001629,0.0401542499894276,1.172457000007853
campaign_size_corrected_weak_n10_fcgnn_seed83_20260611T123124_8b7ec2f2,83,weak,10,0.0318877919926308,0.0403089999454095,1.1740270829759538
campaign_size_corrected_strong_n2_fcgnn_seed71_20260611T122729_e4b0ea4a,71,strong,2,0.0300403339788317,0.030131709005218,1.077993541955948
campaign_size_corrected_strong_n10_fcgnn_seed23_20260611T122837_ae3d10de,23,strong,10,0.0336021250113844,0.0420032499823719,1.245886499993503
campaign_size_corrected_weak_n5_fcgnn_seed11_20260611T123004_4b405120,11,weak,5,0.0321789170266129,0.0407625410007312,1.1403811249765567
campaign_size_corrected_strong_n10_fcgnn_seed37_20260611T122842_d8e10da5,37,strong,10,0.0339154580142349,0.0395789169706404,1.1751842920202762
campaign_size_corrected_weak_n10_fcgnn_seed101_20260611T123133_38292059,101,weak,10,0.0319100830238312,0.0394038750091567,1.169941917003598
campaign_size_corrected_strong_n2_fcgnn_seed37_20260611T122711_3fc6653e,37,strong,2,0.0304785839980468,0.0320304170018062,1.1590231250156648
campaign_size_corrected_strong_n2_fcgnn_seed67_20260611T122725_ba4a1ddb,67,strong,2,0.0296333340229466,0.0402873749844729,1.087073416041676
campaign_size_corrected_strong_n10_fcgnn_seed83_20260611T122906_f8ae0e93,83,strong,10,0.096565791987814,0.0547590000205673,1.2493271669954993
campaign_size_corrected_weak_n2_fcgnn_seed37_20260611T122929_fda9249d,37,weak,2,0.0304260409902781,0.0310515830060467,1.0758382910280488
campaign_size_corrected_weak_n5_fcgnn_seed41_20260611T123018_0e5462d3,41,weak,5,0.03052970796125,0.0361477920087054,1.1995672499760983
campaign_size_corrected_weak_n2_fcgnn_seed101_20260611T123000_a2e707a5,101,weak,2,0.0293679579626768,0.0387250420171767,1.0934141670004465
campaign_size_corrected_weak_n5_fcgnn_seed67_20260611T123027_1de465ea,67,weak,5,0.0297691249870695,0.0394427090068347,1.1215871670283375
campaign_size_corrected_weak_n10_fcgnn_seed11_20260611T123050_122fea34,11,weak,10,0.0315323749673552,0.0414900420000776,1.1957107500056736
campaign_size_corrected_weak_n2_fcgnn_seed83_20260611T122951_c27d3755,83,weak,2,0.0304291250067763,0.0372325839707627,1.0862762079923414
campaign_size_corrected_strong_n10_fcgnn_seed71_20260611T122901_787804a5,71,strong,10,0.0303530829842202,0.042441957979463,1.166694584011566
campaign_size_corrected_weak_n2_fcgnn_seed11_20260611T122920_947cc601,11,weak,2,0.0319122500368393,0.034204583032988,1.1893127919756807
campaign_size_corrected_strong_n10_fcgnn_seed67_20260611T122856_a0d607bf,67,strong,10,0.0306176249869167,0.0419461249839514,1.1622688330244273
