method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec,framework_config
fcgnn,71,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.84,0.3614170976272448,0,100,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,2,1,0,34,0.0290415000054053,0.0398930420051328,0.0026418750057928,1.115111499966588,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.096648986226468,11.859705264203177,10.837709968945346,3.612906508536364,8.246798755666813,0,0,0.0,689.0,1378.0,undirected_nx_bidirectional_pyg,6.89,5.0,0.03462312,13.0,6.5,22.0,107.0,121.0,568.0,17.5617,0.95,10.0,5.0,0.02867,campaign_size_corrected_strong_n5_fcgnn_seed71_20260611T122814_ed072d60,,C3
fcgnn,41,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8084666666666667,0.47719269389912,0,84,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,2,1,0,97,0.0329196669626981,0.0417420000303536,0.003019374969881,1.178577208018396,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.1696122475096,201.01300621728203,200.157414501968,96.43707101297672,104.57593520430532,0,0,0.0,997.0,1994.0,undirected_nx_bidirectional_pyg,9.97,12.0,0.0501005,18.0,9.0,26.0,100.0,277.0,720.0,27.7834,0.95,10.0,5.0,0.032509,campaign_size_corrected_strong_n10_fcgnn_seed41_20260611T122847_4cdafffb,,C3
fcgnn,23,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8073684210526315,0.2304732630436855,0,100,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.030795999977272,0.0332631670171394,0.0023832500446587,1.08175991702592,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Hyundai=1",13.062333131708334,12.444172538076211,12.488658095525814,1.215649706027496,11.228522832048718,0,0,0.0,507.0,1014.0,undirected_nx_bidirectional_pyg,5.07,5.0,0.02547739,14.0,7.0,22.0,133.0,40.0,467.0,7.8895,0.95,10.0,5.0,0.030411,campaign_size_corrected_strong_n2_fcgnn_seed23_20260611T122707_37652a58,,C3
fcgnn,41,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1926315789473684,0.0321302910713802,10,107,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,10,0.0308233749819919,0.0390698339906521,0.0025640419917181,1.155164333002176,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.848683087662442,10.92916384209878,9.7178021090789,0.8527219366919816,10.076441905406798,0,0,0.0,516.0,1032.0,undirected_nx_bidirectional_pyg,5.16,4.0,0.02592965,14.0,7.0,24.0,74.0,46.0,470.0,8.9147,0.95,10.0,5.0,0.02997,campaign_size_corrected_weak_n2_fcgnn_seed41_20260611T122933_349a78e8,,C3
fcgnn,83,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2187428571428571,0.0797369465209327,25,85,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,21,0.0315780409728176,0.0419452919741161,0.002688999986276,1.124268082960043,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",12.36218445469922,12.362272021498612,11.52454902048306,1.671054650727764,10.69121737077085,0,0,0.0,614.0,1228.0,undirected_nx_bidirectional_pyg,6.14,6.0,0.03085427,15.0,7.5,26.0,109.0,98.0,516.0,15.9609,0.95,10.0,5.0,0.031205,campaign_size_corrected_weak_n5_fcgnn_seed83_20260611T123036_9ae7536c,,C3
fcgnn,101,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.3212571428571428,0.0907830361663849,25,89,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,3,1,0,47,0.0294424589956179,0.0396864580106921,0.0026752079720608,1.1037349589751102,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",12.886079566618402,12.909917258143391,12.415492399783146,0.549302621583435,12.36061463655996,0,0,0.0,674.0,1348.0,undirected_nx_bidirectional_pyg,6.74,7.0,0.03386935,14.0,7.0,21.0,114.0,93.0,581.0,13.7982,0.95,10.0,5.0,0.029074,campaign_size_corrected_weak_n5_fcgnn_seed101_20260611T123046_ca9eea20,,C3
fcgnn,41,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8584,0.4076445581490716,0,102,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,13,0.0342047500307671,0.0373341669910587,0.0027171249967068,1.2156853749766017,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.15890567045031,12.037550658865475,11.10952789978871,4.171348681988056,7.866201976877419,0,0,0.0,718.0,1436.0,undirected_nx_bidirectional_pyg,7.18,6.0,0.0360804,19.0,9.5,27.0,106.0,139.0,579.0,19.3593,0.95,10.0,5.0,0.033836,campaign_size_corrected_strong_n5_fcgnn_seed41_20260611T122801_2bdd7d44,,C3
fcgnn,11,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8749714285714286,0.4247126117425795,0,98,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,3,1,0,48,0.0329897499759681,0.0404484159662388,0.0034154170425608,1.1591498340130784,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.197488820795687,12.11701145654036,11.3509526349948,3.947597029741532,8.169414426798827,0,0,0.0,672.0,1344.0,undirected_nx_bidirectional_pyg,6.72,5.0,0.03376884,26.0,13.0,33.0,112.0,140.0,532.0,20.8333,0.95,10.0,5.0,0.032579,campaign_size_corrected_strong_n5_fcgnn_seed11_20260611T122747_3e587134,,C3
fcgnn,97,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1652631578947368,0.0317057744194939,10,102,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,12,0.0345689160167239,0.0338401250191964,0.0024724170216359,1.0735200839699246,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",9.947574003615111,9.974432801889252,8.972159776561565,1.9734136068175676,8.001019195071684,0,0,0.0,502.0,1004.0,undirected_nx_bidirectional_pyg,5.02,4.0,0.02522613,27.0,13.5,36.0,131.0,47.0,455.0,9.3625,0.95,10.0,5.0,0.034191,campaign_size_corrected_weak_n2_fcgnn_seed97_20260611T122955_b2f38bed,,C3
fcgnn,97,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.9692105263157896,0.4672037510656436,0,98,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,4,1,0,49,0.0293669999809935,0.0394854579935781,0.0031474169809371,1.0866941250278614,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Kia=1",13.028963176362057,13.028970584406906,13.028341756880936,4.076047219482176,8.952923364924729,0,0,0.0,571.0,1142.0,undirected_nx_bidirectional_pyg,5.71,4.0,0.02869347,27.0,13.5,36.0,131.0,75.0,496.0,13.1349,0.95,10.0,5.0,0.029002,campaign_size_corrected_strong_n2_fcgnn_seed97_20260611T122738_81d5a213,,C3
