method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,experiment,attack_strength,attacked_model_diversity,total_fleet_size,expected_total_nodes,descriptors_per_vehicle,graph_nodes,attacked_vehicle_count,platform_composition,within_model_attack_similarity,cross_model_attack_similarity,campaign_similarity,benign_cross_model_similarity,malicious_minus_benign_cross_sim,cross_model_edges,same_model_edges,cross_model_edge_percentage,graph_unique_undirected_edges,graph_pyg_stored_edges,graph_directed_status,graph_average_degree,graph_median_degree,graph_graph_density,graph_isolated_nodes,graph_isolated_node_percentage,graph_connected_components,graph_largest_component_size,graph_cross_vehicle_edges,graph_same_vehicle_edges,graph_cross_vehicle_edge_percentage,graph_similarity_threshold,graph_top_k_same_vehicle,graph_top_k_cross_vehicle,graph_graph_construction_time_sec,run_id,runtime_local_ids_sec,framework_config
fcgnn,23,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2436571428571428,0.0827801187040071,25,86,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,18,0.0338185420259833,0.0393250830238685,0.002372084010858,1.2199988750508055,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",13.105678737444496,13.1168229937943,12.392908592248665,1.736617762131846,11.380205231662456,0,0,0.0,550.0,1100.0,undirected_nx_bidirectional_pyg,5.5,4.0,0.02763819,17.0,8.5,27.0,105.0,90.0,460.0,16.3636,0.95,10.0,5.0,0.033334,campaign_size_corrected_weak_n5_fcgnn_seed23_20260611T123009_cd49b87b,,C3
fcgnn,23,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2471052631578947,0.0346128464163839,10,100,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,12,0.0298065420356579,0.0343817920074798,0.0021411670022644,1.0793720000074245,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.50284517284831,12.525065458770936,11.772579213120627,1.2090452117917447,11.316020246979193,0,0,0.0,502.0,1004.0,undirected_nx_bidirectional_pyg,5.02,5.0,0.02522613,14.0,7.0,22.0,133.0,55.0,447.0,10.9562,0.95,10.0,5.0,0.029449,campaign_size_corrected_weak_n2_fcgnn_seed23_20260611T122924_f38024a3,,C3
fcgnn,53,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8452571428571428,0.3808633279074157,0,97,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,2,1,0,38,0.0293879160308279,0.0400797500042244,0.0030079580028541,1.113903583958745,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.03834100110936,11.878262152979875,10.868302437198343,4.0024813027791595,7.875780850200718,0,0,0.0,658.0,1316.0,undirected_nx_bidirectional_pyg,6.58,5.0,0.03306533,15.0,7.5,29.0,95.0,143.0,515.0,21.7325,0.95,10.0,5.0,0.02902,campaign_size_corrected_strong_n5_fcgnn_seed53_20260611T122805_b2de25d9,,C3
fcgnn,83,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8670857142857142,0.4103823791529119,0,102,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,30,0.0296760000055655,0.0384908749838359,0.0028914170106872,1.1121688749990426,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.37207707440465,12.194986777442708,11.313948233498088,4.355681650124297,7.83930512731841,0,0,0.0,676.0,1352.0,undirected_nx_bidirectional_pyg,6.76,4.5,0.03396985,26.0,13.0,38.0,93.0,87.0,589.0,12.8698,0.95,10.0,5.0,0.029275,campaign_size_corrected_strong_n5_fcgnn_seed83_20260611T122819_9bdb60c2,,C3
fcgnn,23,campaign_size_corrected_strong,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.8300571428571428,0.3896175445821414,0,93,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,3,1,0,48,0.0300481669837608,0.0417552499566227,0.0031535410089418,1.215281207987573,campaign_size_corrected,strong,3,20,200,10,200,5,"Chevrolet=1,Hyundai=2,Kia=2",12.204286246662654,11.799374863790064,11.32477965291932,4.3756830974515335,7.42369176633853,0,0,0.0,730.0,1460.0,undirected_nx_bidirectional_pyg,7.3,6.0,0.03668342,17.0,8.5,30.0,78.0,72.0,658.0,9.863,0.95,10.0,5.0,0.029673,campaign_size_corrected_strong_n5_fcgnn_seed23_20260611T122751_a7d33ea1,,C3
fcgnn,53,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2454857142857143,0.0819944654740873,25,94,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,18,0.0328282080008648,0.0391754999873228,0.0025088330148719,1.1511896250303837,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",13.238127259113469,13.214908639168645,12.500384868188746,1.8064680935622277,11.408440545606416,0,0,0.0,539.0,1078.0,undirected_nx_bidirectional_pyg,5.39,4.5,0.02708543,22.0,11.0,31.0,90.0,80.0,459.0,14.8423,0.95,10.0,5.0,0.032447,campaign_size_corrected_weak_n5_fcgnn_seed53_20260611T123023_cc0e73c3,,C3
fcgnn,101,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8169333333333334,0.47743010930267,0,94,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,2,1,0,98,0.0346697080531157,0.0415849999990314,0.0025770409847609,1.2117676670313813,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.26824729506689,201.01082216419456,200.2153431523235,94.87813908137252,106.13268308282204,0,0,0.0,1017.0,2034.0,undirected_nx_bidirectional_pyg,10.17,12.0,0.05110553,16.0,8.0,22.0,100.0,172.0,845.0,16.9125,0.95,10.0,5.0,0.034226,campaign_size_corrected_strong_n10_fcgnn_seed101_20260611T122915_be896376,,C3
fcgnn,67,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.321578947368421,0.0379706711644926,10,105,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0295481669600121,0.0342559589771553,0.0024306669947691,1.092120708024595,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",8.353593915602634,8.150180853053037,7.842739250205886,2.144343540072538,6.005837312980499,0,0,0.0,511.0,1022.0,undirected_nx_bidirectional_pyg,5.11,5.0,0.02567839,18.0,9.0,27.0,114.0,46.0,465.0,9.002,0.95,10.0,5.0,0.029184,campaign_size_corrected_weak_n2_fcgnn_seed67_20260611T122942_6e77bac2,,C3
fcgnn,41,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.1848,0.1580798727285411,50,69,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,26,0.030682708020322,0.0399937079637311,0.0024878750555217,1.1707190420129336,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.473520986246406,12.47813860128402,11.761515312688548,2.617366397999746,9.860772203284274,0,0,0.0,705.0,1410.0,undirected_nx_bidirectional_pyg,7.05,8.5,0.03542714,17.0,8.5,30.0,100.0,161.0,544.0,22.8369,0.95,10.0,5.0,0.030306,campaign_size_corrected_weak_n10_fcgnn_seed41_20260611T123105_6756659c,,C3
fcgnn,41,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.821578947368421,0.160685344067697,0,115,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.030815917009022,0.0395467499620281,0.0023879999644123,1.096030416956637,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.658437656972271,10.688848146330953,9.815711322621578,2.0572420854072044,8.631606060923747,0,0,0.0,538.0,1076.0,undirected_nx_bidirectional_pyg,5.38,4.0,0.02703518,14.0,7.0,24.0,74.0,54.0,484.0,10.0372,0.95,10.0,5.0,0.030447,campaign_size_corrected_strong_n2_fcgnn_seed41_20260611T122716_943b82bc,,C3
fcgnn,11,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8290666666666666,0.5090944093934857,0,72,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,25,0.0317117910017259,0.0421938330400735,0.0026914590271189,1.1639679579529911,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.35096056664227,201.25255463048595,200.46338950324716,97.09293229615388,104.15962233433208,0,0,0.0,962.0,1924.0,undirected_nx_bidirectional_pyg,9.62,12.0,0.04834171,21.0,10.5,32.0,100.0,239.0,723.0,24.8441,0.95,10.0,5.0,0.031328,campaign_size_corrected_strong_n10_fcgnn_seed11_20260611T122833_90e565a7,,C3
fcgnn,67,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2296,0.1639389887953379,50,77,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,37,0.033917166001629,0.0401542499894276,0.0022223330452106,1.172457000007853,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.10855817751316,13.119967832446047,12.433803239746602,3.2313382595564835,9.888629572889563,0,0,0.0,749.0,1498.0,undirected_nx_bidirectional_pyg,7.49,8.0,0.03763819,11.0,5.5,18.0,100.0,179.0,570.0,23.8985,0.95,10.0,5.0,0.033433,campaign_size_corrected_weak_n10_fcgnn_seed67_20260611T123114_6c8c96c6,,C3
fcgnn,83,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2116,0.1623421666328202,50,61,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,13,0.0318877919926308,0.0403089999454095,0.0023956249933689,1.1740270829759538,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.339301636056774,12.352843668248134,11.633867833256469,2.6732466992567843,9.67959696899135,0,0,0.0,700.0,1400.0,undirected_nx_bidirectional_pyg,7.0,7.5,0.03517588,17.0,8.5,28.0,100.0,183.0,517.0,26.1429,0.95,10.0,5.0,0.031515,campaign_size_corrected_weak_n10_fcgnn_seed83_20260611T123124_8b7ec2f2,,C3
fcgnn,71,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8213157894736842,0.178911259126076,0,105,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0300403339788317,0.030131709005218,0.0014699999592266,1.077993541955948,campaign_size_corrected,strong,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.401129269839362,12.41730489544279,11.381942598101736,1.598194684601112,10.81911021084168,0,0,0.0,446.0,892.0,undirected_nx_bidirectional_pyg,4.46,4.0,0.02241206,16.0,8.0,27.0,129.0,52.0,394.0,11.6592,0.95,10.0,5.0,0.029685,campaign_size_corrected_strong_n2_fcgnn_seed71_20260611T122729_e4b0ea4a,,C3
fcgnn,23,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.7806666666666666,0.4688946008467045,0,69,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,82,0.0336021250113844,0.0420032499823719,0.0023928339942358,1.245886499993503,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.2601454767049,200.98427056425655,200.48605009406367,95.66932533260903,105.31494523164751,0,0,0.0,1021.0,2042.0,undirected_nx_bidirectional_pyg,10.21,12.0,0.05130653,17.0,8.5,30.0,100.0,160.0,861.0,15.6709,0.95,10.0,5.0,0.033155,campaign_size_corrected_strong_n10_fcgnn_seed23_20260611T122837_ae3d10de,,C3
fcgnn,11,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2553142857142857,0.0840237284465641,25,96,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,27,0.0321789170266129,0.0407625410007312,0.0022819170262664,1.1403811249765567,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",11.509406597816447,11.47920173848584,10.79184717755024,1.7969597561986288,9.682241982287213,0,0,0.0,562.0,1124.0,undirected_nx_bidirectional_pyg,5.62,5.0,0.02824121,30.0,15.0,40.0,98.0,94.0,468.0,16.726,0.95,10.0,5.0,0.031771,campaign_size_corrected_weak_n5_fcgnn_seed11_20260611T123004_4b405120,,C3
fcgnn,37,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.7941333333333334,0.4738805763448731,0,76,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,3,1,0,121,0.0339154580142349,0.0395789169706404,0.0027124169864691,1.1751842920202762,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",200.90739431389335,200.77605408684744,199.80884549124784,93.86608716770375,106.90996691914368,0,0,0.0,925.0,1850.0,undirected_nx_bidirectional_pyg,9.25,11.0,0.04648241,23.0,11.5,35.0,100.0,211.0,714.0,22.8108,0.95,10.0,5.0,0.033488,campaign_size_corrected_strong_n10_fcgnn_seed37_20260611T122842_d8e10da5,,C3
fcgnn,101,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2612666666666666,0.1704125161234083,50,72,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,2,1,0,43,0.0319100830238312,0.0394038750091567,0.0025891670375131,1.169941917003598,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",13.09294152713618,13.093946695975726,12.44213097243523,2.050125295165484,11.04382140081024,0,0,0.0,762.0,1524.0,undirected_nx_bidirectional_pyg,7.62,9.0,0.03829146,13.0,6.5,22.0,100.0,158.0,604.0,20.7349,0.95,10.0,5.0,0.031505,campaign_size_corrected_weak_n10_fcgnn_seed101_20260611T123133_38292059,,C3
fcgnn,37,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.8984210526315789,0.404537100609327,0,99,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.0304785839980468,0.0320304170018062,0.0020208749920129,1.1590231250156648,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Kia=1",8.103724895060395,7.949565900709347,7.200049253926502,-0.3216198008189117,8.271185701528259,0,0,0.0,489.0,978.0,undirected_nx_bidirectional_pyg,4.89,4.0,0.02457286,25.0,12.5,38.0,125.0,30.0,459.0,6.135,0.95,10.0,5.0,0.030117,campaign_size_corrected_strong_n2_fcgnn_seed37_20260611T122711_3fc6653e,,C3
fcgnn,67,campaign_size_corrected_strong,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.973421052631579,0.5,0,104,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,2,1,0,27,0.0296333340229466,0.0402873749844729,0.0035950840101577,1.087073416041676,campaign_size_corrected,strong,2,20,200,10,200,2,"Chevrolet=1,Kia=1",13.040025968868637,13.04002596886864,13.040959938052966,4.149774510352262,8.890251458516378,0,0,0.0,587.0,1174.0,undirected_nx_bidirectional_pyg,5.87,5.0,0.02949749,18.0,9.0,27.0,114.0,75.0,512.0,12.7768,0.95,10.0,5.0,0.029268,campaign_size_corrected_strong_n2_fcgnn_seed67_20260611T122725_ba4a1ddb,,C3
fcgnn,83,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.8022,0.4915083182696631,0,80,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,3,1,0,131,0.096565791987814,0.0547590000205673,0.0028113749576732,1.2493271669954993,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.2896364548218,201.04479226066587,200.32233922102023,95.96626059765494,105.07853166301092,0,0,0.0,969.0,1938.0,undirected_nx_bidirectional_pyg,9.69,12.5,0.04869347,22.0,11.0,36.0,100.0,202.0,767.0,20.8462,0.95,10.0,5.0,0.09614,campaign_size_corrected_strong_n10_fcgnn_seed83_20260611T122906_f8ae0e93,,C3
fcgnn,37,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2326315789473684,0.0337142526566534,10,96,0.1,1.0,0.1818181818181818,2,18,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0304260409902781,0.0310515830060467,0.0014270420069806,1.0758382910280488,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.016484132724536,10.112565158436094,9.454478206905083,1.288933997277148,8.823631161158946,0,0,0.0,489.0,978.0,undirected_nx_bidirectional_pyg,4.89,4.0,0.02457286,25.0,12.5,38.0,125.0,52.0,437.0,10.6339,0.95,10.0,5.0,0.030054,campaign_size_corrected_weak_n2_fcgnn_seed37_20260611T122929_fda9249d,,C3
fcgnn,41,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2229714285714286,0.0800098036781481,25,89,0.25,1.0,0.4,5,15,1.0,0.0,1.0,0.0,1.0,2,1,0,25,0.03052970796125,0.0361477920087054,0.002498582995031,1.1995672499760983,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",10.811360036700355,10.805438114719262,10.05771141336665,1.5331207362750596,9.272317378444203,0,0,0.0,597.0,1194.0,undirected_nx_bidirectional_pyg,5.97,5.5,0.03,17.0,8.5,29.0,50.0,92.0,505.0,15.4104,0.95,10.0,5.0,0.030154,campaign_size_corrected_weak_n5_fcgnn_seed41_20260611T123018_0e5462d3,,C3
fcgnn,101,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.4005263157894737,0.0432562615120597,10,103,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,17,0.0293679579626768,0.0387250420171767,0.0024695000029169,1.0934141670004465,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",12.587485232733332,12.638847909907463,12.421811613492094,-0.0089511030200272,12.647799012927493,0,0,0.0,573.0,1146.0,undirected_nx_bidirectional_pyg,5.73,5.0,0.02879397,19.0,9.5,27.0,132.0,55.0,518.0,9.5986,0.95,10.0,5.0,0.028999,campaign_size_corrected_weak_n2_fcgnn_seed101_20260611T123000_a2e707a5,,C3
fcgnn,67,campaign_size_corrected_weak,5,1.0,5,15,0,0,0.125,1.0,0.2222222222222222,1.0,0.0,0.2608,0.083354060538911,25,95,0.25,1.0,0.4,5,15,1.0,1.0,1.0,1.0,1.0,1,1,0,21,0.0297691249870695,0.0394427090068347,0.0020923749543726,1.1215871670283375,campaign_size_corrected,weak,2,20,200,10,200,5,"Hyundai=3,Kia=2",10.21684701830419,10.137906092982115,9.637290949598384,2.479026519626366,7.658879573355751,0,0,0.0,565.0,1130.0,undirected_nx_bidirectional_pyg,5.65,5.0,0.02839196,18.0,9.0,27.0,86.0,85.0,480.0,15.0442,0.95,10.0,5.0,0.029409,campaign_size_corrected_weak_n5_fcgnn_seed67_20260611T123027_1de465ea,,C3
fcgnn,11,campaign_size_corrected_weak,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.2642,0.1705960169250554,50,81,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,35,0.0315323749673552,0.0414900420000776,0.0022097089677117,1.1957107500056736,campaign_size_corrected,weak,2,20,200,10,200,10,"Hyundai=5,Kia=5",12.172190168224096,12.163536759477664,11.575663563599628,2.606972496040905,9.55656426343676,0,0,0.0,723.0,1446.0,undirected_nx_bidirectional_pyg,7.23,7.0,0.03633166,29.0,14.5,38.0,100.0,165.0,558.0,22.8216,0.95,10.0,5.0,0.031139,campaign_size_corrected_weak_n10_fcgnn_seed11_20260611T123050_122fea34,,C3
fcgnn,83,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.1463157894736842,0.0311216467568626,10,96,0.1,1.0,0.1818181818181818,2,18,1.0,1.0,1.0,1.0,1.0,1,1,0,14,0.0304291250067763,0.0372325839707627,0.0023261670139618,1.0862762079923414,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.147123873492228,10.123857958274924,9.027071171201818,1.8417917028379984,8.282066255436925,0,0,0.0,518.0,1036.0,undirected_nx_bidirectional_pyg,5.18,5.0,0.02603015,18.0,9.0,29.0,129.0,52.0,466.0,10.0386,0.95,10.0,5.0,0.030065,campaign_size_corrected_weak_n2_fcgnn_seed83_20260611T122951_c27d3755,,C3
fcgnn,71,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.7965333333333333,0.4659443395107318,0,80,0.5,1.0,0.6666666666666666,10,10,1.0,1.0,1.0,1.0,1.0,1,1,0,76,0.0303530829842202,0.042441957979463,0.0022242079721763,1.166694584011566,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.10265562792725,200.8174652733805,200.05782591359116,95.12576722130238,105.69169805207808,0,0,0.0,965.0,1930.0,undirected_nx_bidirectional_pyg,9.65,11.5,0.04849246,21.0,10.5,30.0,100.0,195.0,770.0,20.2073,0.95,10.0,5.0,0.029961,campaign_size_corrected_strong_n10_fcgnn_seed71_20260611T122901_787804a5,,C3
fcgnn,11,campaign_size_corrected_weak,2,1.0,2,18,0,0,0.05,1.0,0.0952380952380952,1.0,0.0,0.2221052631578947,0.0335479721137107,10,105,0.1,1.0,0.1818181818181818,2,18,1.0,0.0,1.0,0.0,1.0,3,1,0,63,0.0319122500368393,0.034204583032988,0.0026094590430147,1.1893127919756807,campaign_size_corrected,weak,2,20,200,10,200,2,"Hyundai=1,Kia=1",10.228042721977316,10.281975245026306,9.514143206496636,-0.9309420575739384,11.212917302600244,0,0,0.0,473.0,946.0,undirected_nx_bidirectional_pyg,4.73,4.0,0.02376884,28.0,14.0,39.0,124.0,52.0,421.0,10.9937,0.95,10.0,5.0,0.031549,campaign_size_corrected_weak_n2_fcgnn_seed11_20260611T122920_947cc601,,C3
fcgnn,67,campaign_size_corrected_strong,10,1.0,10,10,0,0,0.25,1.0,0.4,1.0,0.0,0.7859333333333334,0.4749787527580166,0,67,0.5,1.0,0.6666666666666666,10,10,1.0,0.0,1.0,0.0,1.0,3,1,0,101,0.0306176249869167,0.0419461249839514,0.0028341670404188,1.1622688330244273,campaign_size_corrected,strong,3,20,200,10,200,10,"Chevrolet=3,Hyundai=4,Kia=3",201.0660270140113,200.96278198606183,200.1894433707207,95.82356819067368,105.1392137953882,0,0,0.0,996.0,1992.0,undirected_nx_bidirectional_pyg,9.96,11.5,0.05005025,11.0,5.5,17.0,100.0,194.0,802.0,19.4779,0.95,10.0,5.0,0.030239,campaign_size_corrected_strong_n10_fcgnn_seed67_20260611T122856_a0d607bf,,C3
