Metric,OCSLab,can-train-and-test,Comparable?,Interpretation
precision,SOURCE_NOT_IN_WORKSPACE,0.0227,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
recall,SOURCE_NOT_IN_WORKSPACE,0.25,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
F1,SOURCE_NOT_IN_WORKSPACE,0.0417,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
ROC-AUC,SOURCE_NOT_IN_WORKSPACE,0.9944,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
PR-AUC,SOURCE_NOT_IN_WORKSPACE,0.0978,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
FPR,SOURCE_NOT_IN_WORKSPACE,0.1738,No,"Descriptive: different vehicles, attacks, labels, and scenario construction."
candidate transmission rate,SOURCE_NOT_IN_WORKSPACE,0.2581,Caveat (B),Descriptor-layer candidate rate; comparable definition when exported.
