method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_local_ids_sec,runtime_total_sec,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec
local_ids,23,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1549042499973438,,,
local_ids,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1461203339858912,,,
descriptor_clustering,11,S2_non_coordinated,5,0.25,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.6666666666666666,2,2,0,210,,0.3796842499868944,0.0554415830119978,,0.0029836659959983
fcgnn,11,S2_non_coordinated,5,0.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.6666666666666666,2,2,0,68,,0.4493611250072717,0.0597544999909587,0.076801291987067,0.0039089169877115
descriptor_clustering,11,S2_non_coordinated,5,0.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.6666666666666666,2,2,0,210,,0.3694087919720914,0.0544762499921489,,0.0028987500118091
local_ids,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1583433749910909,,,
standard_gnn,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179508,0,191,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.6666666666666666,2,4,0,30,,0.7116931669879705,0.0783979169791564,0.0859923750103917,0.004660208011046
fcgnn,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179508,0,191,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.75,3,4,0,90,,0.7138034580275416,0.0746469589939806,0.0975387499784119,0.0049108750245068
fcgnn,23,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.1822973749949596,0.0291639170027337,0.0066892910108435,0.0016617500223219
local_ids,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0.0,0.519980792014394,,,
local_ids,11,S2_non_coordinated,5,0.25,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777776,0.9394668658466336,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,0.0,0,2,0,0,0.0,0.2895948340010363,,,
fcgnn,23,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.187008875014726,0.0300760829995851,0.0072857089980971,0.0017500419926363
standard_gnn,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179508,0,191,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.6666666666666666,2,4,0,30,,0.6933592499990482,0.0734511659829877,0.0689594580035191,0.004317709011957
local_ids,11,S2_non_coordinated,10,0.0,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0.0,0.5226717919867951,,,
fcgnn,23,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.18690775000141,0.0311206250044051,0.0069657909916713,0.0016488340042997
descriptor_clustering,11,S2_non_coordinated,2,0.25,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.6666666666666666,2,0,0,30,,0.1990314579743426,0.0336473750066943,,0.0018236670002806
standard_gnn,11,S2_non_coordinated,5,0.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.75,3,2,0,75,,0.428307665977627,0.054691166995326,0.0642278749728575,0.0046914170088712
standard_gnn,11,S2_non_coordinated,5,0.25,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.75,3,2,0,75,,0.4227893750066869,0.053048250003485,0.0621702090138569,0.0039637919981032
fcgnn,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2193029169866349,0.0316170000005513,0.0294672919844742,0.0015721670060884
standard_gnn,11,S2_non_coordinated,10,0.0,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179508,0,191,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.6666666666666666,2,4,0,30,,0.6940947910188697,0.0726979169994592,0.0704161659814417,0.0048019590030889
local_ids,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0.0,0.5201673329866026,,,
fcgnn,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2149035829934291,0.0302911250037141,0.0299022919789422,0.0016465420194435
local_ids,11,S2_non_coordinated,2,0.25,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.148627916991245,,,
fcgnn,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2533929170167539,0.0342524579900782,0.0090445000096224,0.0018110000237356
fcgnn,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,0.2004911249969154,0.0371836250124033,0.007482582994271,0.0017187079938594
local_ids,11,S2_non_coordinated,2,0.0,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.1498495409905444,,,
local_ids,11,S2_non_coordinated,5,0.25,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777776,0.9394668658466336,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,0.0,0,2,0,0,0.0,0.2880296660005115,,,
local_ids,11,S2_non_coordinated,10,0.0,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0,4,0,0,0.0,0.5255944159871433,,,
descriptor_clustering,11,S2_non_coordinated,10,0.25,3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179508,0,191,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.6666666666666666,2,4,0,214,,0.6336570830026176,0.0737134170194622,,0.0039115829858928
