method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M3_GCN,strong_campaign,0.3816793893129771,1.0,0.5524861878453039,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,896,False
M4_GraphSAGE,strong_campaign,0.3816793893129771,1.0,0.5524861878453039,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,896,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,41,200,916,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,916,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,916,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,916,False
M1_local_IF,unrelated_incidents,0.352112676056338,1.0,0.5208333333333333,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,41,200,955,
M2_descriptor_clustering,unrelated_incidents,0.352112676056338,1.0,0.5208333333333333,0.0,0.0,0.0,0.0,0.8,1.0,1.0,5,1,0,computed,41,200,955,True
M3_GCN,unrelated_incidents,0.352112676056338,1.0,0.5208333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,41,200,955,True
M4_GraphSAGE,unrelated_incidents,0.352112676056338,1.0,0.5208333333333333,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,41,200,955,True
M1_local_IF,strong_campaign,0.4,1.0,0.5714285714285715,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,53,200,896,
M2_descriptor_clustering,strong_campaign,0.4,1.0,0.5714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,896,False
M3_GCN,strong_campaign,0.4,1.0,0.5714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,896,False
M4_GraphSAGE,strong_campaign,0.4,1.0,0.5714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,896,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,53,200,935,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,935,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,935,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,935,False
M1_local_IF,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,53,200,949,
M2_descriptor_clustering,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,53,200,949,True
M3_GCN,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,53,200,949,True
M4_GraphSAGE,unrelated_incidents,0.4166666666666667,1.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,53,200,949,True
M1_local_IF,strong_campaign,0.36231884057971014,1.0,0.5319148936170213,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,67,200,923,
M2_descriptor_clustering,strong_campaign,0.36231884057971014,1.0,0.5319148936170213,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,923,False
M3_GCN,strong_campaign,0.36231884057971014,1.0,0.5319148936170213,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,923,False
M4_GraphSAGE,strong_campaign,0.36231884057971014,1.0,0.5319148936170213,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,923,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,67,200,957,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,957,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,957,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,957,False
M1_local_IF,unrelated_incidents,0.390625,1.0,0.5617977528089888,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,67,200,937,
M2_descriptor_clustering,unrelated_incidents,0.390625,1.0,0.5617977528089888,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,67,200,937,True
M3_GCN,unrelated_incidents,0.390625,1.0,0.5617977528089888,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,67,200,937,True
M4_GraphSAGE,unrelated_incidents,0.390625,1.0,0.5617977528089888,0.0,0.0,0.0,0.0,0.4,1.0,1.0,5,1,0,computed,67,200,937,True
M1_local_IF,strong_campaign,0.4032258064516129,1.0,0.5747126436781609,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,71,200,905,
M2_descriptor_clustering,strong_campaign,0.4032258064516129,1.0,0.5747126436781609,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,905,False
