method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
local_ids,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1514762089936994,0.0
fcgnn,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5218055555555555,0.7903657121266833,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0228387500101234,0.0089863750035874,0.0021632910065818,0.1864889999851584,
local_ids,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.149063541990472,0.0
local_ids,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1482780829828698,0.0
local_ids,23,S1_isolated,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,,,0,39,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0402509170235134,0.0
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0290001250104978,0.0086291249899659,0.0023829580168239,0.1916039170173462,
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.155461959016975,0.0
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0303152090054936,0.0087386250088457,0.0023442499805241,0.197598625003593,
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.158848459017463,0.0
standard_gnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.030737749999389,0.0364487920014653,0.0025629999872762,0.3118989579961635,
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1482451670162845,0.0
fcgnn,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5218055555555555,0.7903657121266833,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0225157499953638,0.0091885419969912,0.0022601660166401,0.1836555839981883,
fcgnn,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.5218055555555555,0.7903657121266833,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0259466250136028,0.0089232499885838,0.0021806670119985,0.1962984580022748,
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.5243749999999999,0.6058248920393265,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0321968330244999,0.0091157080023549,0.0023268749937415,0.1992396670102607,
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1488379170186817,0.0
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1485565829789266,0.0
