run_id,scenario,seed,campaign_size,A_n_descriptors,B_attacked_vehicle_desc,B_benign_vehicle_desc,B_malicious_desc,C_strong_mal_desc,C_weak_mal_desc,D_n_graph_nodes,E_n_graph_edges_undirected,F_same_vehicle_edges,G_cross_vehicle_edges,H_connected_components,I_n_dbscan_clusters_pre_gate,J_n_noise_nodes,K_cluster_size,L_r_k_distinct_vehicles,M_c_k_cohesion,N_gamma_pass,O_beta_pass,P_eta_pass,Q_V_P,R_V_G,S_Jaccard_P_G,T_tp,T_fp,T_fn,cluster_id,n_gt_vehicles_in_cluster,qualifies,primary_failure,campaign_f1,membership_f1,same_gt_cosine_mean,unrelated_cosine_mean,emb_within_gt_mean,emb_gt_unrelated_mean
val_S3_seed157,S3,157,5,200,50,150,50,30,0,200,339,75,264,74,5,52,2,1,0.999186,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,27,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.225046140352264,0.0066656429992186,6.486892103031563,11.151242180633544
val_S3_seed157,S3,157,5,200,50,150,50,30,0,200,339,75,264,74,5,52,2,1,0.989696,False,True,True,"[""K019""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,38,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.225046140352264,0.0066656429992186,6.486892103031563,11.151242180633544
val_S3_seed163,S3,163,5,200,50,150,50,30,4,200,351,72,279,65,2,59,44,8,0.77083,True,True,True,"[""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.3,0,1,1,1,3,True,BETA_COHESION_FAILURE,0.0,0.0,0.1986091914362041,0.0382004005445023,7.216121834750289,17.871787158203126
val_S3_seed163,S3,163,5,200,50,150,50,30,4,200,351,72,279,65,2,59,97,16,0.469449,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.3125,0,1,1,8,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.1986091914362041,0.0382004005445023,7.216121834750289,17.871787158203126
val_S3_seed179,S3,179,5,200,50,150,50,30,5,200,333,73,260,80,4,74,119,20,0.293992,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,2,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.2195483165183104,0.0178062605471502,6.127590889927885,13.262758671283722
val_S3_seed179,S3,179,5,200,50,150,50,30,5,200,333,73,260,80,4,74,2,1,0.992058,False,True,True,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,18,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2195483165183104,0.0178062605471502,6.127590889927885,13.262758671283722
val_S3_seed179,S3,179,5,200,50,150,50,30,5,200,333,73,260,80,4,74,3,1,0.986237,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,20,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2195483165183104,0.0178062605471502,6.127590889927885,13.262758671283722
val_S3_seed179,S3,179,5,200,50,150,50,30,5,200,333,73,260,80,4,74,2,1,0.99205,False,True,True,"[""C010""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,21,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2195483165183104,0.0178062605471502,6.127590889927885,13.262758671283722
val_S3_seed181,S3,181,5,200,50,150,50,30,6,200,378,74,304,69,3,67,129,20,0.276026,True,False,True,"[""C006"", ""C007"", ""C008"", ""C009"", ""C010"", ""H001"", ""H002"", ""H003"", ""H011"", ""H012"", ""H013"", ""H014"", ""H015"", ""K004"", ""K005"", ""K016"", ""K017"", ""K018"", ""K019"", ""K020""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.25,0,0,1,1,5,False,BETA_COHESION_FAILURE,0.0,0.0,0.2506086688009091,0.0288115299558495,5.659500685842046,11.829376491832733
val_S3_seed181,S3,181,5,200,50,150,50,30,6,200,378,74,304,69,3,67,2,1,0.993437,False,True,True,"[""C007""]","[""H001"", ""H002"", ""H003"", ""K004"", ""K005""]",0.0,0,0,1,19,0,False,BETA_COHESION_FAILURE,0.0,0.0,0.2506086688009091,0.0288115299558495,5.659500685842046,11.829376491832733
