graph_construction,num_nodes,num_edges,graph_density,cross_vehicle_edge_count,connected_components,cross_vehicle_cluster_count,local_f1,fleet_f1,local_recall,fleet_recall,recall_gain_percent,f1_gain_percent,fleet_fpr,silhouette_score,promoted_windows,weak_recovery_rate_percent,weak_recall_gain_percent,weak_f1_gain_percent,weak_fleet_fpr,weak_local_fpr,recovery_eligible,recovered_attacks,cross_vehicle_weak_clusters,cross_vehicle_cluster_rate
original_topk,77233,814472,0.00027309010736162483,189,4,1,0.8455648100374275,0.8455648100374275,0.7932724814063556,0.7932724814063556,0.0,0.0,0.4445175618984947,0.15905310213565826,0,0.0,0.0,,0.0,0.0,0,0,0,0.0
cross_vehicle_knn,77233,931770,0.00031241978771073917,384568,1,1,0.8455648100374275,0.8455648100374275,0.7932724814063556,0.7932724814063556,0.0,0.0,0.4445175618984947,,0,100.0,,,1.0,0.0,20206,13453,1,1.0
