vehicle_a,vehicle_b,mean_cross_vehicle_similarity,max_cross_vehicle_similarity,min_cross_vehicle_similarity
Chevrolet,Hyundai,0.9998845864558763,0.99999986994999,0.9995984340557691
Chevrolet,Kia,0.9999136488041194,0.9999999498501417,0.9996146541821371
Hyundai,Kia,0.9999227226978988,0.9999999999980873,0.999729740291929
