similarity_view,num_nodes,num_edges,num_cross_vehicle_edges,graph_density,connected_components
full_descriptor,77233.0,814472.0,189.0,0.00027309010736162483,4.0
behavior_only,77233.0,1137171.0,72843.0,0.0003812901492973684,1.0
behavior_only_vehicle_normalized,77233.0,719905.0,7760.0,0.00024138206560835794,16.0
