train_vehicle,test_vehicle,train_vehicle_display,test_vehicle_display,classifier,accuracy,precision,recall,f1,roc_auc,pr_auc
Hyundai,Kia,HYUNDAI Sonata,KIA Soul,logistic_regression,0.8394470883909951,0.8397614207767198,0.9995542962656394,0.9127167546039914,0.5348388271709614,0.854308247188603
Hyundai,Kia,HYUNDAI Sonata,KIA Soul,random_forest,0.8398213999251377,0.8398213999251377,1.0,0.9129379623036344,0.7686129068381047,0.9544151103695563
Hyundai,Chevrolet,HYUNDAI Sonata,CHEVROLET Spark,logistic_regression,0.7416649192702873,0.7416649192702873,1.0,0.8516734890440645,0.49971727452643483,0.7415565957943427
Hyundai,Chevrolet,HYUNDAI Sonata,CHEVROLET Spark,random_forest,0.7416649192702873,0.7416649192702873,1.0,0.8516734890440645,0.7138547415264971,0.8897702190624073
Kia,Hyundai,KIA Soul,HYUNDAI Sonata,logistic_regression,0.6590610917802749,0.9877616747181964,0.6107939458311206,0.7548299766192215,0.7532246753804495,0.9573081387840041
Kia,Hyundai,KIA Soul,HYUNDAI Sonata,random_forest,0.8588500370771776,0.859320147272883,0.9993361656930431,0.9240543236399907,0.7931862965009608,0.9637940179898462
Kia,Chevrolet,KIA Soul,CHEVROLET Spark,logistic_regression,0.7412455441392325,0.7415565345080763,0.9994345490528697,0.8513969171483622,0.8203816610305159,0.9411325685771208
Kia,Chevrolet,KIA Soul,CHEVROLET Spark,random_forest,0.7416649192702873,0.7416649192702873,1.0,0.8516734890440645,0.8559592884497466,0.9451272574491667
Chevrolet,Hyundai,CHEVROLET Spark,HYUNDAI Sonata,logistic_regression,0.8592778506645371,0.8592778506645371,1.0,0.9243135450222427,0.4820439008938165,0.8610801301122293
Chevrolet,Hyundai,CHEVROLET Spark,HYUNDAI Sonata,random_forest,0.8592493297587132,0.859273837026896,0.9999668082846521,0.9242970439798125,0.5473459503470237,0.9027806544203938
Chevrolet,Kia,CHEVROLET Spark,KIA Soul,logistic_regression,0.8378161595636597,0.8402104754490053,0.9963706981630639,0.9116516166618118,0.4827507542765444,0.8384877250568996
Chevrolet,Kia,CHEVROLET Spark,KIA Soul,random_forest,0.8398213999251377,0.8398213999251377,1.0,0.9129379623036344,0.7925631881651389,0.950167064574628
