target,n_train,n_test,r2,mae
unique_can_id_count,57924,19309,0.8852077427086835,1.3989001674521382
can_id_entropy,57924,19309,0.9388707717012392,0.05052043496447814
most_common_can_id_ratio,57924,19309,0.9922036126417804,0.0034047646175360525
