attack_type,mean_same_vehicle_similarity,mean_cross_vehicle_similarity,similarity_gap
flooding,0.1619643555872745,0.04694954643180796,0.11501480915546655
replay,0.37008534859475806,0.3416079874828416,0.028477361111916455
fuzzy,0.2611658109647775,0.23562110477506393,0.02554470618971355
malfunction,0.16557255658306425,0.13782372972433898,0.027748826858725262
