cluster_id,cluster_size,num_unique_vehicles,vehicles_in_cluster,dominant_attack_type,mean_cluster_similarity,num_strong_local_anomalies,num_weak_suspicious_signals,num_upgraded_weak_signals
0,406,2,"Hyundai,Kia",attack_free,0.998883,214,192,192
1,1571,3,"Chevrolet,Hyundai,Kia",flooding,0.999439,1571,0,0
