epoch,loss,train_acc,val_acc,test_acc,epochs,architecture,hidden_channels,embedding_dim,num_nodes,num_edges,num_classes,best_val_acc,final_test_acc,final_train_loss
1.0,2.402892589569092,0.15716849267482758,0.15158839523792267,0.16433626413345337,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
2.0,125.88102722167969,0.15716849267482758,0.15158839523792267,0.16433626413345337,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
3.0,41.032474517822266,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
4.0,1.8368052244186401,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
5.0,4.508251190185547,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
6.0,4.387223243713379,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
7.0,3.424945831298828,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
8.0,2.3924310207366943,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
9.0,1.6423180103302002,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
10.0,1.0255403518676758,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
11.0,0.5296129584312439,0.45713335275650024,0.4576139450073242,0.46133264899253845,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
12.0,0.7054511308670044,0.3431921899318695,0.33891573548316956,0.3441222310066223,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
13.0,0.7588865756988525,0.3633723556995392,0.3616194725036621,0.367080956697464,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
14.0,0.7756593823432922,0.43149659037590027,0.4272271990776062,0.4318142533302307,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
15.0,0.7494626641273499,0.5627878308296204,0.5580110549926758,0.5523908138275146,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
16.0,0.6943199038505554,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
17.0,0.44624608755111694,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
18.0,0.7494174838066101,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
19.0,0.4638771116733551,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
20.0,0.470508337020874,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
21.0,0.42293399572372437,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
22.0,0.8188256025314331,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
23.0,0.42248594760894775,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
24.0,0.5465556979179382,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
25.0,0.5638170838356018,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
26.0,0.43406611680984497,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
27.0,0.5598444938659668,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
28.0,0.45146623253822327,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
29.0,0.4265861511230469,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
30.0,0.4320359230041504,0.8428314924240112,0.8484116196632385,0.8356637358665466,30,graphsage,64,32,77233,11618090,2,0.8484116196632385,0.8356637358665466,0.4320359230041504
