Attack Type,Recall (%),Precision (%),F1-Score (%),Average Anomaly Score,Detection Latency (ms)
attack_free,0.0,0.0,0.0,0.5001,
flooding,58.94,100.0,74.17,0.8549,77.21
fuzzy,68.51,100.0,81.31,0.891,52.55
malfunction,42.02,100.0,59.17,0.7469,87.6
replay,24.88,100.0,39.84,0.7118,143.67
