feature,between_vehicle_variance,within_vehicle_variance,dominance_ratio,auto_exclude
anomaly_score,0.0010932253962360398,0.01747626299142649,0.06255486852180504,False
frame_count,0.0,0.0,0.0,False
message_rate,0.0,0.0,0.0,False
burstiness,0.02132678668710227,0.24011334646819274,0.08881966334640094,False
mean_inter_arrival_time,2.286824260577293e-10,1.3981719493984677e-08,0.015264097432177113,False
std_inter_arrival_time,2.169795614812338e-09,6.643734619057059e-07,0.003261019170493808,False
can_id_entropy,0.15677286842569577,0.1547830916939977,1.0128552524508074,False
most_common_can_id_ratio,0.0003838326437745606,0.009334248978689565,0.04112088755399358,False
