scenario_id,scenario_key,scenario_label,seed,campaign_size,method,local_ids,descriptor_sharing,fleet_graph,graphsage,dbscan,campaign_reasoning,local_precision,local_recall,local_f1,local_fpr,local_alert_generated,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate,incorrect_merge_rate,membership_precision,membership_recall,membership_f1,fragmentation,source,metric_source
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,53,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,67,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,71,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,83,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,97,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.888888888888889,0.0,campaign_metrics.csv (archive),
S2,independent_multi_vehicle_attacks,Independent multi-vehicle attacks,101,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,11,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,11,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,11,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.9,0.9473684210526316,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,23,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,23,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,23,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.5,0.6666666666666666,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,37,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,37,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,37,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.9,0.9473684210526316,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,41,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,41,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,0.8333333333333334,1.0,0.9090909090909092,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,41,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,53,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,53,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,0.4166666666666667,1.0,0.5882352941176471,1.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,53,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,67,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,0.4,1.0,0.5714285714285715,1.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,67,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.6,0.7499999999999999,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,67,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.7,0.8235294117647058,0.0,campaign_metrics.csv (archive),
S3,strong_coordinated_campaign,Strong coordinated campaign,71,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
