Scenario,Expected behaviour,OCSLab result,can-train-and-test result,Interpretation
Benign-Fleet Control,no coordinated campaign,false_campaign=0.0; fleet_campaign=0; campaign_F1=0.000,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=0.000; incorrect_merge=0.000,Both datasets: benign fleet did not trigger false coordinated campaigns.
Isolated Single-Vehicle Attack,local incident only,fleet_campaign=0; campaign_F1=0.000,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=1.000; incorrect_merge=0.000,Isolated attacks handled locally without fleet false escalation.
Unrelated Multi-Vehicle Incidents,separate incidents,fleet_campaign=0; campaign_F1=0.000; incorrect_merge=0.333,false_campaign=0.0; fleet_campaign=0.0; campaign_F1=0.000; membership_purity=1.000; incorrect_merge=1.000,OCSLab unrelated merge ~0.33; CTT incorrect_merge_rate=1.0 — behaviour-only graph limitation on CTT.
Strong Behaviourally Related Campaign,fleet campaign,fleet_campaign=0.8125; campaign_F1=0.694; membership_purity=0.672,false_campaign=0.0; fleet_campaign=1.0; campaign_F1=1.000; membership_purity=1.000; incorrect_merge=0.000,Coordinated campaigns detected; absolute F1 not directly comparable across datasets.
Weak Behaviourally Related Campaign,weak fleet campaign,fleet_campaign=0.71875; campaign_F1=0.667; membership_purity=0.651,false_campaign=0.0; fleet_campaign=1.0; campaign_F1=1.000; membership_purity=1.000; incorrect_merge=0.000,Coordinated campaigns detected; absolute F1 not directly comparable across datasets.
