,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
count,400.0,400.0,400.0,400.0
mean,0.13755770863499492,0.08485406757972669,0.31322934084571896,1.3560621094703675
std,0.03490416367896823,0.015817345212904767,0.057142426684695165,0.13002912502703254
min,0.09713712497614324,0.0698192500276491,0.23373145808000118,1.1994762420654297
25%,0.1093330625735689,0.0784622187493369,0.2666546772234142,1.2709050178527832
50%,0.1320979375159368,0.08092866651713848,0.297366333543323,1.314772605895996
75%,0.17771351095871069,0.08989914550329559,0.3537086355208885,1.4073147773742676
max,0.2922217920422554,0.2136649580206722,0.5080440840683877,1.798492431640625
