run_id,test_condition,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,unique_edges,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
edge_Strong_Coordinated_Campaign_seed23_tau0.75_k5,Strong Coordinated Campaign,23,0.75,5,2,912.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11299908405635506,0.08055304200388491,0.2838182500563562,1.3655452728271484
edge_Strong_Coordinated_Campaign_seed23_tau0.75_k10,Strong Coordinated Campaign,23,0.75,10,2,1368.0,0.5,1.0,0.6666666666666666,0.3125,1,0,1.0,0.13886179099790752,0.09309241594746709,0.33619529101997614,1.4894227981567383
edge_Strong_Coordinated_Campaign_seed23_tau0.75_k20,Strong Coordinated Campaign,23,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18729012506082654,0.09335170802660286,0.4107996659586206,1.7980308532714844
edge_Strong_Coordinated_Campaign_seed23_tau0.80_k3,Strong Coordinated Campaign,23,0.8,3,2,644.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10165687499102205,0.08050195896066725,0.26826849998906255,1.2947769165039062
edge_Strong_Coordinated_Campaign_seed23_tau0.80_k5,Strong Coordinated Campaign,23,0.8,5,2,857.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.12195312499534339,0.08617087500169873,0.30376449995674193,1.3494243621826172
edge_Strong_Coordinated_Campaign_seed23_tau0.80_k10,Strong Coordinated Campaign,23,0.8,10,2,1205.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.15557820803951472,0.09599220799282193,0.3558881670469418,1.4456720352172852
edge_Strong_Coordinated_Campaign_seed23_tau0.80_k20,Strong Coordinated Campaign,23,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18758775002788752,0.0903783329995349,0.40079874999355525,1.648397445678711
edge_Strong_Coordinated_Campaign_seed23_tau0.85_k3,Strong Coordinated Campaign,23,0.85,3,2,576.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10067662503570318,0.07870095898397267,0.2606216249987483,1.277665138244629
edge_Strong_Coordinated_Campaign_seed23_tau0.85_k5,Strong Coordinated Campaign,23,0.85,5,2,747.0,0.5,1.0,0.6666666666666666,0.35714285714285715,1,0,1.0,0.11493170808535069,0.0841233340324834,0.2845478750532493,1.3169984817504883
edge_Strong_Coordinated_Campaign_seed23_tau0.85_k10,Strong Coordinated Campaign,23,0.85,10,2,996.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.13568862504325807,0.08586512494366616,0.31745445798151195,1.3890008926391602
edge_Strong_Coordinated_Campaign_seed23_tau0.85_k20,Strong Coordinated Campaign,23,0.85,20,2,1371.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18553420796524733,0.09159379196353257,0.38825308298692107,1.4991350173950195
edge_Strong_Coordinated_Campaign_seed23_tau0.90_k3,Strong Coordinated Campaign,23,0.9,3,2,475.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0993482090998441,0.07599554106127471,0.25662550004199147,1.251230239868164
edge_Strong_Coordinated_Campaign_seed23_tau0.90_k5,Strong Coordinated Campaign,23,0.9,5,2,580.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11354570905677974,0.08424224995542318,0.28470862505491823,1.271688461303711
edge_Strong_Coordinated_Campaign_seed23_tau0.90_k10,Strong Coordinated Campaign,23,0.9,10,2,770.0,1.0,1.0,1.0,1.0,0,0,0.0,0.14149720803834498,0.08402762492187321,0.3245051670819521,1.3316450119018555
edge_Strong_Coordinated_Campaign_seed23_tau0.90_k20,Strong Coordinated Campaign,23,0.9,20,2,1076.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1841826670570299,0.08781970897689462,0.37241616705432534,1.41796875
edge_Strong_Coordinated_Campaign_seed23_tau0.95_k3,Strong Coordinated Campaign,23,0.95,3,2,341.0,1.0,1.0,1.0,1.0,0,0,0.0,0.09733979206066579,0.0722745000384748,0.24165887490380555,1.2166318893432617
edge_Strong_Coordinated_Campaign_seed23_tau0.95_k5,Strong Coordinated Campaign,23,0.95,5,2,422.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1086102919653058,0.07279833394568413,0.25743108394090086,1.2305755615234375
edge_Strong_Coordinated_Campaign_seed23_tau0.95_k10,Strong Coordinated Campaign,23,0.95,10,2,590.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13082637498155236,0.07863549992907792,0.2953365839784965,1.287184715270996
edge_Strong_Coordinated_Campaign_seed23_tau0.95_k20,Strong Coordinated Campaign,23,0.95,20,2,856.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1801622499478981,0.08014775009360164,0.35284241696354,1.359487533569336
edge_Strong_Coordinated_Campaign_seed37_tau0.75_k3,Strong Coordinated Campaign,37,0.75,3,2,670.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10648454108741134,0.07887045806273818,0.26828033302444965,1.3005170822143555
edge_Strong_Coordinated_Campaign_seed37_tau0.75_k5,Strong Coordinated Campaign,37,0.75,5,2,912.0,1.0,1.0,1.0,1.0,0,0,0.0,0.11305050004739314,0.08196312503423542,0.28983729204628617,1.3643426895141602
edge_Strong_Coordinated_Campaign_seed37_tau0.75_k10,Strong Coordinated Campaign,37,0.75,10,2,1368.0,1.0,1.0,1.0,1.0,0,0,0.0,0.13934354099910706,0.09353554202243686,0.34834466606844217,1.4883737564086914
edge_Strong_Coordinated_Campaign_seed37_tau0.75_k20,Strong Coordinated Campaign,37,0.75,20,2,1886.0,0.0,0.0,0.0,0.0,0,0,0.0,0.2027837079949677,0.10641729191411287,0.4470242919633165,1.7924871444702148
edge_Strong_Coordinated_Campaign_seed37_tau0.80_k3,Strong Coordinated Campaign,37,0.8,3,2,644.0,1.0,1.0,1.0,1.0,0,0,0.0,0.10331520799081773,0.20879570802208036,0.39906662493012846,1.2945966720581055
edge_Strong_Coordinated_Campaign_seed37_tau0.80_k5,Strong Coordinated Campaign,37,0.8,5,2,857.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1,0,1.0,0.11816858395468444,0.08099391602445394,0.2861246250104159,1.3498992919921875
edge_Strong_Coordinated_Campaign_seed37_tau0.80_k10,Strong Coordinated Campaign,37,0.8,10,2,1205.0,0.5,1.0,0.6666666666666666,0.3333333333333333,1,0,1.0,0.14012970798648894,0.08772766694892198,0.33408054197207093,1.4468517303466797
edge_Strong_Coordinated_Campaign_seed37_tau0.80_k20,Strong Coordinated Campaign,37,0.8,20,2,1643.0,0.0,0.0,0.0,0.0,0,0,0.0,0.18480775004718453,0.09164466708898544,0.3948552910005674,1.6487302780151367
edge_Strong_Coordinated_Campaign_seed37_tau0.85_k3,Strong Coordinated Campaign,37,0.85,3,2,576.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1005827080225572,0.07694283302407712,0.26142558292485774,1.275491714477539
edge_Strong_Coordinated_Campaign_seed37_tau0.85_k5,Strong Coordinated Campaign,37,0.85,5,2,747.0,0.5,1.0,0.6666666666666666,0.38461538461538464,1,0,1.0,0.1092210829956457,0.0795817500911653,0.27576216706074774,1.3170690536499023
edge_Strong_Coordinated_Campaign_seed37_tau0.85_k10,Strong Coordinated Campaign,37,0.85,10,2,996.0,0.5,1.0,0.6666666666666666,0.4166666666666667,1,0,1.0,0.1376447919756174,0.08023841702379286,0.31165941699873656,1.3927326202392578
