scenario,expected_decision,OCSLab_fleet_result,CTT_corrected_fleet_result,OCSLab_campaign_f1,CTT_campaign_f1,OCSLab_false_campaign,CTT_false_campaign,OCSLab_incorrect_merge,CTT_incorrect_merge_after_rule,interpretation
Benign-Fleet Control,no coordinated campaign,no coordinated campaign,no coordinated campaign,,0.0,0.0,0.0,,0.0,No false fleet campaign on benign fleet (CTT false_campaign=0).
Isolated Single-Vehicle Attack,local incident only,local incident only; no fleet escalation,local incident only; no fleet escalation,,0.0,0.0,0.0,,0.0,Local incident detected without false fleet escalation (CTT false_campaign=0).
Unrelated Multi-Vehicle Incidents,separate incidents,separate incidents; some incorrect merging (0.33),separate incidents; incorrect merge 0.0 after consistency rule,,0.0,0.4772727272727273,0.0,0.3333333333333333,0.0,CTT unrelated incorrect merge 0.0 after consistency rule; OCSLab shows residual merge risk (descriptive comparison).
Strong Behaviourally Related Campaign,fleet campaign,coordinated fleet campaign detected,coordinated fleet campaign detected,0.6944444444444445,1.0,0.0,0.0,,0.0,Coordinated campaign detected; CTT campaign F1=1.0 on 200-node graphs with no temporal edges.
Weak Behaviourally Related Campaign,weak fleet campaign,weak coordinated fleet campaign detected,weak coordinated fleet campaign detected,0.6666666666666666,1.0,0.0,0.0,,0.0,Coordinated campaign detected; CTT campaign F1=1.0 on 200-node graphs with no temporal edges.
