seed,scenario,method,modes,n_pred,n_matched,clusters_json
23,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 173, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 42, ""-1"": 131}, ""cohesion_9d"": 0.999988476007314, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.23204419889502761, ""passed_gate"": true}]"
23,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 48, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 18, ""gt_composition"": {""0"": 20, ""-1"": 28}, ""cohesion_9d"": 0.9999901597346343, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2564102564102564, ""passed_gate"": true}]"
37,strong_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 148, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 33, ""-1"": 115}, ""cohesion_9d"": 0.999981987194101, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2, ""passed_gate"": true}]"
37,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 192, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 46, ""-1"": 146}, ""cohesion_9d"": 0.9999745172943613, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.23469387755102042, ""passed_gate"": true}]"
37,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 137, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 35, ""-1"": 102}, ""cohesion_9d"": 0.9999816811687496, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.23026315789473684, ""passed_gate"": true}]"
37,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 66, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 17, ""-1"": 49}, ""cohesion_9d"": 0.999990442242013, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1717171717171717, ""passed_gate"": true}]"
37,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 198, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 50, ""-1"": 148}, ""cohesion_9d"": 0.9999883337602982, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25252525252525254, ""passed_gate"": true}]"
37,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 88, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 24, ""-1"": 64}, ""cohesion_9d"": 0.9999904790986789, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.21052631578947367, ""passed_gate"": true}]"
41,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 114, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 21, ""-1"": 93}, ""cohesion_9d"": 0.9999838644466437, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.14685314685314685, ""passed_gate"": true}]"
41,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 188, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 45, ""-1"": 143}, ""cohesion_9d"": 0.9999802641458625, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.23316062176165803, ""passed_gate"": true}]"
41,strong_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 136, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 23, ""-1"": 113}, ""cohesion_9d"": 0.9999835370949346, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1411042944785276, ""passed_gate"": true}]"
41,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 62, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 15, ""-1"": 47}, ""cohesion_9d"": 0.9999907014232147, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.15463917525773196, ""passed_gate"": true}]"
41,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 191, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 142}, ""cohesion_9d"": 0.9999887578119002, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2552083333333333, ""passed_gate"": true}]"
41,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 88, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 23, ""-1"": 65}, ""cohesion_9d"": 0.9999901545738002, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2, ""passed_gate"": true}]"
53,strong_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 152, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 38, ""-1"": 114}, ""cohesion_9d"": 0.9999790829699239, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.23170731707317074, ""passed_gate"": true}]"
53,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 196, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 50, ""-1"": 146}, ""cohesion_9d"": 0.999979201069736, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25510204081632654, ""passed_gate"": true}]"
