seed,scenario,method,modes,n_pred,n_matched,clusters_json
71,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 195, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 146}, ""cohesion_9d"": 0.999987825734407, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25, ""passed_gate"": true}]"
71,strong_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 52, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 16, ""-1"": 36}, ""cohesion_9d"": 0.9999887586887639, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.18604651162790697, ""passed_gate"": true}]"
71,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 63, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18""], ""n_vehicles"": 19, ""gt_composition"": {""0"": 12, ""-1"": 51}, ""cohesion_9d"": 0.9999906461804834, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1188118811881188, ""passed_gate"": true}]"
71,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 195, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 48, ""-1"": 147}, ""cohesion_9d"": 0.999987787933087, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2436548223350254, ""passed_gate"": true}]"
71,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 52, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_10"", ""veh_11"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 18, ""gt_composition"": {""0"": 18, ""-1"": 34}, ""cohesion_9d"": 0.9999909924028378, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.21428571428571427, ""passed_gate"": true}]"
83,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 75, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 23, ""-1"": 52}, ""cohesion_9d"": 0.9999877943079112, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.22549019607843138, ""passed_gate"": true}]"
83,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 198, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 50, ""-1"": 148}, ""cohesion_9d"": 0.999986972605551, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25252525252525254, ""passed_gate"": true}]"
83,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 110, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 37, ""-1"": 73}, ""cohesion_9d"": 0.9999865982641533, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.3008130081300813, ""passed_gate"": true}]"
83,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 69, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 18, ""-1"": 51}, ""cohesion_9d"": 0.9999910664547728, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1782178217821782, ""passed_gate"": true}]"
83,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 197, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 50, ""-1"": 147}, ""cohesion_9d"": 0.9999883243954731, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.25380710659898476, ""passed_gate"": true}]"
83,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 20, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_08"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_17""], ""n_vehicles"": 14, ""gt_composition"": {""0"": 9, ""-1"": 11}, ""cohesion_9d"": 0.9999904167003489, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.14754098360655737, ""passed_gate"": true}]"
97,strong_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 108, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 23, ""-1"": 85}, ""cohesion_9d"": 0.9999816498862557, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.17037037037037037, ""passed_gate"": true}]"
97,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 196, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 48, ""-1"": 148}, ""cohesion_9d"": 0.999981961894442, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24242424242424243, ""passed_gate"": true}]"
97,strong_campaign,M4,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 180, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 35, ""-1"": 145}, ""cohesion_9d"": 0.9999810006020952, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1794871794871795, ""passed_gate"": true}]"
97,weak_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 96, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 35, ""-1"": 61}, ""cohesion_9d"": 0.9999899224082284, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.3153153153153153, ""passed_gate"": true}]"
97,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 198, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 48, ""-1"": 150}, ""cohesion_9d"": 0.999986787277135, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24, ""passed_gate"": true}]"
97,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 39, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_13"", ""veh_14"", ""veh_16"", ""veh_17"", ""veh_19""], ""n_vehicles"": 16, ""gt_composition"": {""0"": 20, ""-1"": 19}, ""cohesion_9d"": 0.9999919572051603, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2898550724637681, ""passed_gate"": true}]"
101,strong_campaign,M2,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 79, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 29, ""-1"": 50}, ""cohesion_9d"": 0.999989332656169, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.29, ""passed_gate"": true}]"
101,strong_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 196, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 49, ""-1"": 147}, ""cohesion_9d"": 0.9999866998932128, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24873096446700507, ""passed_gate"": true}]"
101,strong_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 37, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 17, ""gt_composition"": {""0"": 17, ""-1"": 20}, ""cohesion_9d"": 0.9999904636702115, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.24285714285714285, ""passed_gate"": true}]"
101,weak_campaign,M2,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 70, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 13, ""-1"": 57}, ""cohesion_9d"": 0.9999908503369175, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.12149532710280374, ""passed_gate"": true}]"
101,weak_campaign,M3,"[""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 171, ""vehicles"": [""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 20, ""gt_composition"": {""0"": 45, ""-1"": 126}, ""cohesion_9d"": 0.9999874777335164, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.2556818181818182, ""passed_gate"": true}]"
101,weak_campaign,M4,"[""B_dbscan_fragmentation"", ""C_dbscan_over_merging"", ""E_jaccard_lt_0_5"", ""matching_failure_no_pair_ge_0_5""]",1,0,"[{""pred_id"": 0, ""size"": 20, ""vehicles"": [""veh_00"", ""veh_02"", ""veh_03"", ""veh_04"", ""veh_05"", ""veh_07"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_17"", ""veh_18"", ""veh_19""], ""n_vehicles"": 13, ""gt_composition"": {""0"": 7, ""-1"": 13}, ""cohesion_9d"": 0.9999906815201068, ""cross_vehicle"": true, ""jaccard_best_gt"": 0.1111111111111111, ""passed_gate"": true}]"
