seed,scenario,dbscan_id,size,vehicles,n_vehicles,gt_composition,cohesion,cross_vehicle,gate_passed_pre_merge,gate_fail_reasons,best_jaccard_vs_gt,best_gt_id,in_final_gated
11,weak_campaign,8,2,"[""veh_02"", ""veh_03""]",2,"{""0"": 2}",0.9999998002249514,True,True,[],0.04,0,True
11,weak_campaign,9,7,"[""veh_05"", ""veh_06"", ""veh_11"", ""veh_14"", ""veh_17"", ""veh_18""]",6,"{""-1"": 7}",0.9999996926130389,True,True,[],0.0,-1,True
11,weak_campaign,10,8,"[""veh_05"", ""veh_06"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_18""]",7,"{""-1"": 8}",0.9999996627425032,True,True,[],0.0,-1,True
11,weak_campaign,11,2,"[""veh_06"", ""veh_07""]",2,"{""-1"": 2}",0.9999998394964672,True,True,[],0.0,-1,True
11,weak_campaign,12,2,"[""veh_07"", ""veh_12""]",2,"{""-1"": 2}",0.9999999665977646,True,True,[],0.0,-1,True
11,weak_campaign,13,3,"[""veh_07"", ""veh_08"", ""veh_14""]",3,"{""-1"": 3}",0.9999998889312618,True,True,[],0.0,-1,True
11,weak_campaign,14,2,"[""veh_08"", ""veh_12""]",2,"{""-1"": 2}",0.9999999030056248,True,True,[],0.0,-1,True
11,weak_campaign,15,2,"[""veh_09""]",1,"{""-1"": 2}",0.9999999611150683,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
11,weak_campaign,16,2,"[""veh_09"", ""veh_15""]",2,"{""-1"": 2}",0.9999999561330561,True,True,[],0.0,-1,True
11,weak_campaign,17,3,"[""veh_10"", ""veh_17""]",2,"{""-1"": 3}",0.9999999554854019,True,True,[],0.0,-1,True
11,weak_campaign,18,2,"[""veh_10"", ""veh_11""]",2,"{""-1"": 2}",0.9999997936863855,True,True,[],0.0,-1,True
11,weak_campaign,19,2,"[""veh_11"", ""veh_17""]",2,"{""-1"": 2}",0.9999999198301055,True,True,[],0.0,-1,True
11,weak_campaign,20,2,"[""veh_11"", ""veh_19""]",2,"{""-1"": 2}",0.9999994757477795,True,True,[],0.0,-1,True
11,weak_campaign,21,4,"[""veh_12"", ""veh_16"", ""veh_18""]",3,"{""-1"": 4}",0.9999997429313899,True,True,[],0.0,-1,True
11,weak_campaign,22,2,"[""veh_13""]",1,"{""-1"": 2}",0.9999999479711602,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
11,weak_campaign,23,2,"[""veh_13"", ""veh_16""]",2,"{""-1"": 2}",0.999999999880244,True,True,[],0.0,-1,True
11,weak_campaign,24,2,"[""veh_16"", ""veh_19""]",2,"{""-1"": 2}",0.9999999671076862,True,True,[],0.0,-1,True
11,weak_campaign,25,3,"[""veh_16"", ""veh_17"", ""veh_19""]",3,"{""-1"": 3}",0.9999996248592399,True,True,[],0.0,-1,True
11,weak_campaign,26,2,"[""veh_17"", ""veh_19""]",2,"{""-1"": 2}",0.9999994488079063,True,True,[],0.0,-1,True
23,strong_campaign,0,39,"[""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",5,"{""0"": 39}",0.9999991227054476,True,True,[],0.78,0,True
23,strong_campaign,1,2,"[""veh_05"", ""veh_11""]",2,"{""-1"": 2}",0.9999989803110004,True,True,[],0.0,-1,True
23,strong_campaign,2,5,"[""veh_05"", ""veh_09"", ""veh_17"", ""veh_19""]",4,"{""-1"": 5}",0.999999458575853,True,True,[],0.0,-1,True
23,strong_campaign,3,8,"[""veh_05"", ""veh_08"", ""veh_12"", ""veh_15"", ""veh_17"", ""veh_18"", ""veh_19""]",7,"{""-1"": 8}",0.9999994646423882,True,True,[],0.0,-1,True
23,strong_campaign,4,2,"[""veh_05"", ""veh_06""]",2,"{""-1"": 2}",0.9999999259961467,True,True,[],0.0,-1,True
23,strong_campaign,5,6,"[""veh_05"", ""veh_08"", ""veh_09"", ""veh_14"", ""veh_15"", ""veh_17""]",6,"{""-1"": 6}",0.9999993271988693,True,True,[],0.0,-1,True
23,strong_campaign,6,2,"[""veh_05"", ""veh_19""]",2,"{""-1"": 2}",0.9999993947733354,True,True,[],0.0,-1,True
