transform,dim,scenario,bucket,n_pairs,mean,std,min,p25,median,p75,max,pct_ge_0_95
R0_raw_9d,9d,strong_campaign,within_campaign,12250,0.9999877587159269,2.2524390730487407e-05,0.9998407864334027,0.9999881508704204,0.999996959090909,0.9999991026148407,0.9999999998621539,100.0
R0_raw_9d,9d,strong_campaign,campaign_vs_benign,75000,0.9999712989375186,2.7137266955740833e-05,0.999762170136125,0.9999609858018681,0.9999790972882117,0.9999886962125201,0.9999999849787985,100.0
R0_raw_9d,9d,strong_campaign,campaign_vs_unrelated,25000,0.9999487053395579,4.663793095470937e-05,0.9996538925669117,0.9999270830952615,0.9999576599635069,0.9999867458335717,1.0000000000000004,100.0
R0_raw_9d,9d,weak_campaign,within_campaign,12250,0.999997078719611,3.5636004523491013e-06,0.9999762326113287,0.9999964676227429,0.9999983376744985,0.9999992625451928,0.9999999980153024,100.0
R0_raw_9d,9d,weak_campaign,campaign_vs_benign,75000,0.9999862388566534,1.0253659984386263e-05,0.999904456392791,0.9999806799410549,0.999986871170401,0.9999951301699598,0.9999999920730259,100.0
R0_raw_9d,9d,weak_campaign,campaign_vs_unrelated,25000,0.9999532633705772,3.877332407888448e-05,0.9997382349146029,0.9999335122254658,0.9999548481485695,0.9999862105603802,0.9999999381426037,100.0
R1_train_benign_standardscaler_9d,9d,strong_campaign,within_campaign,12250,0.7393970060288779,0.3518333158123601,-0.5507405675626684,0.6154640890856002,0.9097668889175649,0.9889697419938649,0.9999980083203939,39.5265306122449
R1_train_benign_standardscaler_9d,9d,strong_campaign,campaign_vs_benign,75000,0.1197146658303234,0.39031528420944894,-0.9268566194675315,-0.1506182146402583,0.14913860906199986,0.43444395372605066,0.9985947208104596,0.2
R1_train_benign_standardscaler_9d,9d,strong_campaign,campaign_vs_unrelated,25000,0.3925797306614776,0.49351996111580826,-0.751600517826497,-0.07705255689874238,0.544459893890343,0.8569407746416066,1.0000000000000002,14.932
R1_train_benign_standardscaler_9d,9d,weak_campaign,within_campaign,12250,0.6459102760188079,0.3815232719477131,-0.777302920931987,0.3374354475707851,0.8424255798753986,0.9479628895142724,0.9987953409167241,24.187755102040818
R1_train_benign_standardscaler_9d,9d,weak_campaign,campaign_vs_benign,75000,0.0052533071103363,0.459239198708645,-0.9515259402548896,-0.33667139644464694,0.0007548422708037328,0.3464397433142124,0.9965393755157294,0.22799999999999998
R1_train_benign_standardscaler_9d,9d,weak_campaign,campaign_vs_unrelated,25000,0.160731817495368,0.47349906135693737,-0.8269187832628386,-0.18179091027154998,0.012192207793234003,0.6552679985274247,0.9975113805806162,1.736
R2_historical_fleet_benign_scaler_9d,9d,strong_campaign,within_campaign,12250,0.7878790185128326,0.3170567024780175,-0.4677423297016861,0.7514500198838947,0.9422122185632873,0.9933072351317357,0.9999990431030196,47.21632653061224
R2_historical_fleet_benign_scaler_9d,9d,strong_campaign,campaign_vs_benign,75000,0.14541041311562114,0.44092528626620436,-0.9954917948659074,-0.20011395119802372,0.19786841593331844,0.5080473705375379,0.9927141456748669,0.47600000000000003
R2_historical_fleet_benign_scaler_9d,9d,strong_campaign,campaign_vs_unrelated,25000,0.39098673671646955,0.5115688934739803,-0.7286234723259646,-0.11806122985724513,0.5504249410338369,0.854886297704197,1.0000000000000002,18.404
R2_historical_fleet_benign_scaler_9d,9d,weak_campaign,within_campaign,12250,0.7583115025139411,0.3012021244929846,-0.4217434075089,0.5321320539785206,0.9253328294797274,0.9692993265442109,0.9994390599036878,39.093877551020405
R2_historical_fleet_benign_scaler_9d,9d,weak_campaign,campaign_vs_benign,75000,0.12540333850841393,0.5235685307405296,-0.9865063874724681,-0.29198599900381517,0.15158000282358428,0.57400964351731,0.9965827427132381,1.0613333333333335
R2_historical_fleet_benign_scaler_9d,9d,weak_campaign,campaign_vs_unrelated,25000,0.1536260660859445,0.4786532023417454,-0.8021144781043006,-0.2512736278614329,-0.039987631161879825,0.663922714217052,0.9980217806759737,1.4200000000000002
R0_raw_24d,24d,strong_campaign,within_campaign,12250,0.9908914967747745,0.009304488547391843,0.9211973057432866,0.9888915412859871,0.9936861463348234,0.9967051366486595,0.9998544181387339,99.32244897959184
R0_raw_24d,24d,strong_campaign,campaign_vs_benign,75000,0.9720339059688871,0.018352425020757904,0.8778585602756382,0.9660714953304431,0.9762073270010312,0.984485118642763,0.9994938664492383,87.25066666666666
R0_raw_24d,24d,strong_campaign,campaign_vs_unrelated,25000,0.9515797474585942,0.03426865314735987,0.8295297211476395,0.9229255244775955,0.9503040331234971,0.9844524176373409,1.0000000000000004,50.13999999999999
R0_raw_24d,24d,weak_campaign,within_campaign,12250,0.9935584746994389,0.0035455885193582098,0.9752501203747338,0.9913839018722432,0.9942163330543659,0.9962815190194061,0.9996587524066164,100.0
R0_raw_24d,24d,weak_campaign,campaign_vs_benign,75000,0.9821832816350778,0.009626583761619182,0.9424717455593545,0.9751882291021989,0.9827901047188784,0.9905403733705244,0.9994978043771845,99.89866666666667
R0_raw_24d,24d,weak_campaign,campaign_vs_unrelated,25000,0.9586000216379694,0.03087293221464923,0.8691326616598684,0.9294887715400479,0.9731385211443728,0.9871168440842779,0.999412127245097,55.023999999999994
R1_train_benign_standardscaler_24d,24d,strong_campaign,within_campaign,12250,0.6953775240323883,0.2966172943676369,-0.3851414538906564,0.49565045301068583,0.7781013139500725,0.9612286466200226,0.9998354248455227,27.624489795918368
R1_train_benign_standardscaler_24d,24d,strong_campaign,campaign_vs_benign,75000,-0.030827997506061237,0.3029326077078362,-0.9029665099960349,-0.2591062135089514,-0.03379717336360566,0.20753637537354974,0.9528226378564555,0.0013333333333333333
R1_train_benign_standardscaler_24d,24d,strong_campaign,campaign_vs_unrelated,25000,0.34703692861969876,0.40917457399673757,-0.6677012046111819,-0.026749892578809057,0.3657623642528895,0.6571916837627975,1.0000000000000002,7.5520000000000005
R1_train_benign_standardscaler_24d,24d,weak_campaign,within_campaign,12250,0.5361438065625427,0.25119008271020976,-0.49648807744496565,0.3598730313061082,0.5761894095787867,0.7325091271914109,0.9846659699899835,0.6040816326530613
R1_train_benign_standardscaler_24d,24d,weak_campaign,campaign_vs_benign,75000,-0.11634928910548747,0.3886633585268724,-0.9233282299656879,-0.43090276246039827,-0.16181927149137587,0.19421379334883968,0.9672442941330357,0.006666666666666667
R1_train_benign_standardscaler_24d,24d,weak_campaign,campaign_vs_unrelated,25000,0.16473131557407614,0.32501885142152454,-0.6731023589196254,-0.09000590495223694,0.03963487978612183,0.4774101006361388,0.9738529425100365,0.11199999999999999
