seed,scenario,within_mean,within_median,within_min,within_max,within_pct_ge_0_95,within_n_pairs,vs_benign_mean,vs_benign_median,vs_benign_min,vs_benign_max,vs_benign_pct_ge_0_95,vs_unrelated_mal_mean,vs_unrelated_mal_median,vs_unrelated_mal_min,vs_unrelated_mal_max,vs_unrelated_mal_pct_ge_0_95
11,strong_campaign,0.9999953401704732,0.9999968612945117,0.9999780767259021,0.9999999859205332,100.0,1225,0.9999865749806648,0.9999873798881663,0.9999405713471401,0.9999999486208916,100.0,0.9999542992383335,0.9999564514469372,0.9997847489291941,1.0,100.0
11,weak_campaign,0.9999957048838951,0.9999972558486836,0.9999762326113287,0.9999999980153024,100.0,1225,0.999986003752128,0.9999857646690323,0.9999331850328066,0.9999999644557829,100.0,0.9999519356801966,0.9999532372686988,0.999784992262928,0.9999999381426037,100.0
23,strong_campaign,0.9999773294446498,0.9999985979452286,0.9998437197284461,0.9999999995738189,100.0,1225,0.9999508101508332,0.9999595969617623,0.9997762929721501,0.9999993971750477,100.0,0.999952344131479,0.9999663438162231,0.9997022979112571,0.9999999915855081,100.0
23,weak_campaign,0.9999988400827533,0.9999990219681942,0.9999923868847674,0.9999999948171324,100.0,1225,0.9999848282270832,0.9999853858679294,0.9999249847842281,0.9999999889055528,100.0,0.999955960245501,0.9999595840512767,0.9998171633151229,0.9999997177645664,100.0
37,strong_campaign,0.9999632026605747,0.9999961119023839,0.9998407864334027,0.9999999971111972,100.0,1225,0.9999418987534329,0.9999559421080965,0.999762170136125,0.9999996298492173,100.0,0.9999447432789235,0.9999592848503804,0.9997097026649369,0.9999999993219062,100.0
37,weak_campaign,0.9999958142046018,0.9999971210694334,0.9999763052910655,0.9999999691619351,100.0,1225,0.9999866801944205,0.9999870316528424,0.9999277462121322,0.9999999620386177,100.0,0.9999493630240013,0.99994719977058,0.9997955125681556,0.9999997673417177,100.0
41,strong_campaign,0.9999818470430842,0.9999874769557642,0.9998887034153973,0.9999999998621539,100.0,1225,0.9999653798381114,0.9999630372032629,0.9998810360747853,0.9999998271791879,100.0,0.9999258649026298,0.9999262149320938,0.9996538925669117,1.0000000000000002,100.0
41,weak_campaign,0.99999553727581,0.9999971637778067,0.9999770642495565,0.9999999798018692,100.0,1225,0.9999874531832614,0.9999878489832811,0.9999346669359802,0.9999999698103424,100.0,0.9999516724609387,0.9999492369092513,0.9997795069953694,0.9999996909348228,100.0
53,strong_campaign,0.9999928303943056,0.9999960581772895,0.9999689942889998,0.9999999993858747,100.0,1225,0.9999570135610042,0.9999653345577875,0.9999005184490256,0.9999932818602549,100.0,0.9999563050231419,0.999971840178189,0.9998538721133187,0.9999999978152453,100.0
53,weak_campaign,0.9999987835907591,0.9999989797494544,0.9999938205640049,0.9999999825198166,100.0,1225,0.9999836727391268,0.9999845580467308,0.9999245063031841,0.9999999672543137,100.0,0.9999514725768158,0.9999580406634745,0.9997382349146029,0.9999998482242949,100.0
67,strong_campaign,0.9999952432159005,0.9999971690460406,0.999971637870301,0.9999999916134341,100.0,1225,0.9999851726598358,0.9999856976761583,0.9999061073328034,0.999999961537578,100.0,0.9999479704147521,0.99995087820804,0.9997762195673512,1.0,100.0
67,weak_campaign,0.9999987763116367,0.9999990073918802,0.9999923868847674,0.9999999808134303,100.0,1225,0.9999854882244661,0.9999864972334924,0.9999221558221794,0.9999999806422398,100.0,0.9999475227902996,0.9999559692633767,0.999777902715203,0.9999995295927844,100.0
71,strong_campaign,0.9999949122864824,0.9999966516172808,0.9999750208774436,0.9999999941608814,100.0,1225,0.9999869079067396,0.9999876802338143,0.9999505460854892,0.9999999474473391,100.0,0.9999599847148615,0.9999620333758091,0.9998051836250333,1.0,100.0
71,weak_campaign,0.9999959730988992,0.9999973227317732,0.9999777472594233,0.9999999827051858,100.0,1225,0.999987013000386,0.9999878040955464,0.999904456392791,0.9999999519674848,100.0,0.9999568260424476,0.999955681962438,0.9998047921221375,0.9999993720276288,100.0
83,strong_campaign,0.9999939724930953,0.9999964308837463,0.9999715060471851,0.9999999859205332,100.0,1225,0.9999848999456062,0.9999859321502256,0.9999020179394479,0.9999999721818423,100.0,0.9999586228224034,0.9999586848672888,0.9998177073177538,1.0000000000000004,100.0
83,weak_campaign,0.9999965148006502,0.9999976485094804,0.9999797053732143,0.9999999870752365,100.0,1225,0.9999874020105785,0.9999880438645573,0.9999350741419821,0.9999999920730259,100.0,0.9999574284977847,0.9999546272152728,0.9998195918375369,0.999999661775539,100.0
97,strong_campaign,0.9999841451457357,0.9999897973383959,0.9999226990404364,0.9999999992773395,100.0,1225,0.9999694168654705,0.9999704020059819,0.9998871469256906,0.9999998906781561,100.0,0.9999320394193273,0.9999317192175929,0.9997399742938531,1.0000000000000002,100.0
97,weak_campaign,0.9999988132486335,0.9999989934891821,0.9999944223607667,0.9999999810817782,100.0,1225,0.9999859671582711,0.9999866146872205,0.9999243166896061,0.9999999817916685,100.0,0.9999581975852642,0.9999626363946914,0.9998229934251319,0.9999997157139708,100.0
101,strong_campaign,0.9999987643049661,0.9999990303703433,0.9999929434232249,0.9999999892353559,100.0,1225,0.999984914713488,0.999985878364186,0.9999269016718058,0.9999999849787985,100.0,0.9999548794497279,0.9999594896345292,0.9998207552774209,0.9999999573985378,100.0
101,weak_campaign,0.9999960296984699,0.9999973808235716,0.9999776877876758,0.999999983013539,100.0,1225,0.9999878800768122,0.9999888780746691,0.9999238744420377,0.9999999789958258,100.0,0.9999522548025237,0.9999528180881743,0.999785575391723,0.9999999221517206,100.0
