method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,is_unrelated
M1_local_if,strong_campaign,0.32894736842105265,1.0,0.4950495049504951,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,53,
M2_descriptor_clustering,strong_campaign,0.32894736842105265,1.0,0.4950495049504951,0.058823529411764705,1.0,0.1111111111111111,0.3048780487804878,2.0,0.0,0.9411764705882353,1.0,17.0,1.0,computed,53,False
M3_gcn,strong_campaign,0.32894736842105265,1.0,0.4950495049504951,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,53,False
M4_graphsage,strong_campaign,0.32894736842105265,1.0,0.4950495049504951,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,53,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",53,
M1_local_if,unrelated_incidents,0.32894736842105265,1.0,0.4950495049504951,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,53,
M2_descriptor_clustering,unrelated_incidents,0.32894736842105265,1.0,0.4950495049504951,0.0,0.0,0.0,0.0,1.4,0.23076923076923078,1.0,5.0,13.0,0.0,computed,53,True
M3_gcn,unrelated_incidents,0.32894736842105265,1.0,0.4950495049504951,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,computed,53,True
M4_graphsage,unrelated_incidents,0.32894736842105265,1.0,0.4950495049504951,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,53,True
M1_local_if,strong_campaign,0.32051282051282054,1.0,0.48543689320388356,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,67,
M2_descriptor_clustering,strong_campaign,0.32051282051282054,1.0,0.48543689320388356,0.125,1.0,0.2222222222222222,0.352112676056338,2.0,0.0,0.875,1.0,8.0,1.0,computed,67,False
M3_gcn,strong_campaign,0.32051282051282054,1.0,0.48543689320388356,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,67,False
M4_graphsage,strong_campaign,0.32051282051282054,1.0,0.48543689320388356,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,67,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",67,
M1_local_if,unrelated_incidents,0.29411764705882354,1.0,0.45454545454545453,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,67,
M2_descriptor_clustering,unrelated_incidents,0.29411764705882354,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.6,0.07692307692307693,1.0,5.0,13.0,0.0,computed,67,True
M3_gcn,unrelated_incidents,0.29411764705882354,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,67,True
M4_graphsage,unrelated_incidents,0.29411764705882354,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,computed,67,True
M1_local_if,strong_campaign,0.26881720430107525,1.0,0.423728813559322,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,71,
M2_descriptor_clustering,strong_campaign,0.26881720430107525,1.0,0.423728813559322,0.07692307692307693,1.0,0.14285714285714288,0.3225806451612903,3.0,0.0,0.9230769230769231,1.0,13.0,1.0,computed,71,False
M3_gcn,strong_campaign,0.26881720430107525,1.0,0.423728813559322,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,71,False
M4_graphsage,strong_campaign,0.26881720430107525,1.0,0.423728813559322,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,71,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",71,
M1_local_if,unrelated_incidents,0.29069767441860467,1.0,0.45045045045045046,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,71,
M2_descriptor_clustering,unrelated_incidents,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.4,0.2727272727272727,1.0,5.0,11.0,0.0,computed,71,True
M3_gcn,unrelated_incidents,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,computed,71,True
M4_graphsage,unrelated_incidents,0.29069767441860467,1.0,0.45045045045045046,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,2.0,0.0,computed,71,True
M1_local_if,strong_campaign,0.2976190476190476,1.0,0.4587155963302752,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,83,
M2_descriptor_clustering,strong_campaign,0.2976190476190476,1.0,0.4587155963302752,0.058823529411764705,1.0,0.1111111111111111,0.3125,3.0,0.0,0.9411764705882353,1.0,17.0,1.0,computed,83,False
M3_gcn,strong_campaign,0.2976190476190476,1.0,0.4587155963302752,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,83,False
M4_graphsage,strong_campaign,0.2976190476190476,1.0,0.4587155963302752,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,computed,83,False
ALL,weak_campaign,,,,,,,,,,,,,,"unsupported:Insufficient weak malicious TEST windows in score band: have 2, need >=25 (weak_thr=0.55, strong_thr=0.8).",83,
M1_local_if,unrelated_incidents,0.28735632183908044,1.0,0.4464285714285714,,,,,,,,5.0,0.0,0.0,N/A_no_campaign_reconstruction,83,
M2_descriptor_clustering,unrelated_incidents,0.28735632183908044,1.0,0.4464285714285714,0.08333333333333333,0.2,0.11764705882352941,0.06666666666666667,1.4,0.25,0.9166666666666666,5.0,12.0,1.0,computed,83,True
M3_gcn,unrelated_incidents,0.28735632183908044,1.0,0.4464285714285714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,computed,83,True
M4_graphsage,unrelated_incidents,0.28735632183908044,1.0,0.4464285714285714,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,computed,83,True
M1_local_if,strong_campaign,0.27472527472527475,1.0,0.4310344827586208,,,,,,,,1.0,0.0,0.0,N/A_no_campaign_reconstruction,97,
