index,graph_build_time,gnn_inference_time,end_to_end_latency
count,400.0,400.0,400.0
mean,0.1375577086349949,0.08485406757972665,0.31322934084571896
std,0.03490416367896824,0.01581734521290477,0.05714242668469517
min,0.0971371249761432,0.0698192500276491,0.2337314580800011
25%,0.10933306257356885,0.07846221874933683,0.2666546772234141
50%,0.13209793751593674,0.08092866651713845,0.297366333543323
75%,0.17771351095871066,0.08989914550329554,0.35370863552088844
max,0.2922217920422554,0.2136649580206722,0.5080440840683877
