campaign_size,seed,fleet_size,total_nodes,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,n_true_campaign_clusters,n_predicted_campaign_clusters,false_campaign_cluster_count,missed_campaign_count,membership_precision,membership_recall,membership_f1,membership_purity,completeness,attacked_vehicles_correctly_included,attacked_vehicles_missed,benign_vehicles_included,predicted_campaign_size,true_campaign_size,fragmentation_rate,fragments_per_true_campaign,incorrect_merging_rate,unrelated_clusters_merged,dbscan_noise_percentage,largest_cluster_size,connected_component_count,unique_edges,pyg_stored_edges,average_degree,median_degree,graph_density,isolated_node_percentage,cross_vehicle_edges,cross_vehicle_edge_percentage,largest_connected_component,graph_build_time,gnn_inference_time,clustering_time,end_to_end_latency,peak_memory,total_descriptors,candidate_nodes,malicious_candidates,benign_candidates,weak_malicious_candidates,strong_malicious_candidates,benign_below_threshold,candidate_precision,candidate_recall,correctly_filtered_benign,benign_incorrectly_promoted,source_windows,malicious_source_windows,benign_source_windows,clearly_benign_filtered,expect_campaign,graph_nodes,candidate_transmission_rate,transmission_percentage,strong_candidates,weak_candidates,same_vehicle_edges,incorrect_merging,false_campaign_rate,local_detection_rate,malicious_cross_vehicle_edge_purity
2,58.4,20.0,200.0,0.6,0.5,0.6,0.5333333333333333,1.0,0.8,0.2,0.4,0.45999999999999996,0.6,0.4904761904761905,0.45999999999999996,0.6,1.2,0.8,1.1,2.3,2.0,0.2,0.8,0.0,0.0,54.15,14.1,78.2,296.1,,2.961,,0.014879396984924622,26.9,66.8,22.697176026374336,32.9,0.12268478748155758,0.07242377082584425,0.033531258394941685,0.2642178165027872,1.207071590423584,200.0,200.0,10.0,190.0,1.5,18.5,0.0,0.05,1.0,0.0,190.0,200.0,10.0,190.0,0.0,1.0,200.0,1.0,100.0,18.5,1.5,229.3,0.0,,1.0,
5,58.4,20.0,200.0,0.8,0.7,0.8,0.7333333333333333,1.0,1.0,0.2,0.2,0.725,0.76,0.7247326203208556,0.725,0.8,3.8,1.2,0.8,4.6,5.0,0.2,1.0,0.0,0.0,52.5,29.6,70.0,426.2,,4.262,,0.02141708542713568,24.4,135.1,31.8660893303781,50.0,0.12717841670382768,0.0755696501233615,0.03617935818620026,0.27535718329017983,1.240250587463379,200.0,200.0,25.0,175.0,4.5,45.5,0.0,0.125,1.0,0.0,175.0,200.0,25.0,175.0,0.0,1.0,200.0,1.0,100.0,45.5,4.5,291.1,0.0,,1.0,
10,58.4,20.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8800000000000001,0.9279669762641898,1.0,1.0,8.8,1.2,0.0,8.8,10.0,0.0,1.0,0.0,0.0,48.65,57.2,57.0,661.2,,6.612,,0.033226130653266336,20.85,293.2,43.99892684964543,100.0,0.1238151247962378,0.08063174589769914,0.0401924250065349,0.280977233289741,1.3014921188354491,200.0,200.0,50.0,150.0,7.5,92.5,0.0,0.25,1.0,0.0,150.0,200.0,50.0,150.0,0.0,1.0,200.0,1.0,100.0,92.5,7.5,368.0,0.0,,1.0,
