unique_edges,seed,similarity_threshold,max_cross_vehicle_neighbors,max_same_vehicle_neighbors,campaign_precision,campaign_recall,campaign_f1,membership_precision,fragmentation,incorrect_merging,false_campaign_rate,graph_build_time,gnn_inference_time,end_to_end_latency,peak_memory
292.0,58.4,0.95,3.0,2.0,0.4,0.5,0.4333333333333333,0.5,0.2,0.0,0.2,0.11016505002044134,0.08291462080087508,0.2572350832168012,1.2007124900817872
341.0,58.4,0.95,3.0,2.0,1.0,1.0,1.0,0.9380952380952381,0.0,0.0,0.0,0.10069504170678552,0.07220227072248232,0.2433300709002651,1.2167726516723634
346.0,58.4,0.95,5.0,2.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.12007299158722158,0.07255824580788608,0.2584212875110097,1.2084057807922364
422.0,58.4,0.95,5.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.11078355829231437,0.07604585840599608,0.28384013737086206,1.2308196067810058
437.0,58.4,0.9,3.0,2.0,0.8,0.9,0.8333333333333333,0.9,0.2,0.0,0.2,0.10157076648902144,0.07464214580832046,0.24615014580776912,1.2403104782104493
475.0,58.4,0.925,6.5,2.0,0.7,0.75,0.7166666666666667,0.7,0.1,0.0,0.1,0.12312185607734132,0.07471786860260177,0.2713543937948998,1.2528761386871339
504.0,58.4,0.85,3.0,2.0,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.11236627491889517,0.07871561240172009,0.2642529751290567,1.257361888885498
527.0,58.4,0.9,5.0,2.0,0.45,0.6,0.5,0.6,0.3,0.0,0.3,0.11252215843414884,0.08968601247761396,0.2760595125262625,1.2533621788024902
555.0,58.4,0.8,3.0,2.0,0.65,0.7,0.6666666666666666,0.7,0.1,0.0,0.1,0.1043423082097433,0.07914847499923776,0.2595333708217368,1.2703511238098144
576.0,58.4,0.85,3.0,2.0,0.85,1.0,0.9,0.8217948717948719,0.3,0.0,0.3,0.10197267067851494,0.07886077509028831,0.26394875840051096,1.2765865325927734
580.0,58.4,0.9,5.0,2.0,0.7,0.9,0.7666666666666666,0.664044289044289,0.4,0.0,0.4,0.11289374171756203,0.07987599988700816,0.2738579793134704,1.2712800979614258
590.0,58.4,0.95,10.0,2.0,1.0,1.0,1.0,0.9714285714285715,0.0,0.0,0.0,0.14429626648779953,0.08789628740632904,0.32803597928723316,1.2851348876953126
591.0,58.4,0.75,3.0,2.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.10336602091556413,0.08192498320713634,0.25890467091230673,1.2801615715026855
600.0,58.4,0.95,20.0,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.18802077078726137,0.0804419331834651,0.3435081332689151,1.2882816314697265
643.0,58.4,0.85,5.0,2.0,0.5,0.6,0.5333333333333333,0.6,0.2,0.0,0.2,0.11378777080681171,0.08013870820868754,0.27177659579319874,1.2849716186523437
644.0,58.4,0.8,3.0,2.0,0.75,1.0,0.8333333333333333,0.6959706959706959,0.5,0.0,0.5,0.10452791261486705,0.09556540837511415,0.28434485008474436,1.2940855026245117
670.0,58.4,0.75,3.0,2.0,0.7333333333333333,1.0,0.8166666666666667,0.6614468864468865,0.5,0.0,0.5,0.1044517459115013,0.08149820398539301,0.27073584150057284,1.3008891105651856
680.0,58.4,0.9,10.0,2.0,0.6,0.7,0.6333333333333333,0.7,0.2,0.0,0.2,0.13610677097458387,0.08007482498651367,0.3187808708986267,1.308805561065674
720.0,58.4,0.8,5.0,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.12314017929602408,0.08080935840262096,0.29414894580841067,1.3053880691528321
747.0,58.4,0.85,5.0,2.0,0.55,1.0,0.7,0.4568098568098568,0.9,0.0,0.9,0.11567455012118441,0.09478322061477226,0.29808961680391804,1.3174405097961426
770.0,58.4,0.9,10.0,2.0,0.65,0.9,0.7333333333333333,0.614044289044289,0.5,0.0,0.5,0.13728406241862098,0.08127463341224933,0.308390895917546,1.3313660621643066
