vehicle_model,roc_auc,pr_auc,precision,recall,f1,false_positive_rate,false_negative_rate,latency_sec,test_windows
Chevrolet,0.9937622079483136,0.9935971300567836,0.8936535162950258,0.9980842911877394,0.9429864253393664,0.1519607843137254,0.0019157088122605,0.1,930
Hyundai,0.7383736354782271,0.8256135298763275,0.7148936170212766,0.6685616827743036,0.690951821386604,0.3635658914728682,0.3314383172256964,0.1,3049
Kia,0.9071196021675164,0.985398333160372,0.9498261877172652,0.8910751168605283,0.9195131527287004,0.3057909604519774,0.1089248831394716,0.1,10615
pooled,0.8837063117224896,0.96896700151668,0.911217535457727,0.8618466898954704,0.8858447488584474,0.3095696852922286,0.1381533101045296,0.1,14594
