set_id,vehicle,precision,recall,f1,fpr
set_01,chevrolet_impala,0.7176211912951057,0.10930522361996874,0.18760133092815368,0.04940711462450593
set_02,chevrolet_traverse,0.7618932838130225,0.14288547979724167,0.2365649807568986,0.04945018135880332
set_03,chevrolet_silverado,0.8662520905126002,0.3260066639763086,0.4456341139377995,0.04554865424430642
set_04,subaru_forester,0.9073495443785711,0.38843484182221594,0.523516145212882,0.04706190652361574
