set_id,seed,scenario,before_incorrect_merge,after_incorrect_merge,before_campaign_f1,after_campaign_f1,before_false_campaign,after_false_campaign
set_02,67,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,67,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,67,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,67,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,67,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,71,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,71,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,71,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,71,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,71,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,83,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,83,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,83,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,83,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,83,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,97,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,97,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,97,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,97,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,97,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,101,Benign-Fleet Control,0.0,0.0,0.0,0.0,0,0
set_02,101,Isolated Single-Vehicle Attack,0.0,0.0,0.0,0.0,1,0
set_02,101,Unrelated Multi-Vehicle Incidents,1.0,0.0,0.0,0.0,0,0
set_02,101,Strong Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
set_02,101,Weak Behaviourally Related Campaign,0.0,0.0,1.0,1.0,0,0
