planned_at,git_commit,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,status,run_id
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,fcgnn,11,5,0.25,completed,S2_non_coordinated_fcgnn_n5_cs0p25_seed11_20260610T163230_a1521d2a
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,local_ids,11,10,0.0,completed,S2_non_coordinated_local_ids_n10_cs0p00_seed11_20260610T163230_d1124363
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,descriptor_clustering,11,10,0.0,completed,S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed11_20260610T163231_8c5d1fc4
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,standard_gnn,11,10,0.0,completed,S2_non_coordinated_standard_gnn_n10_cs0p00_seed11_20260610T163231_9fc4563d
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,fcgnn,11,10,0.0,completed,S2_non_coordinated_fcgnn_n10_cs0p00_seed11_20260610T163232_f9a5a821
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,local_ids,11,10,0.25,completed,S2_non_coordinated_local_ids_n10_cs0p25_seed11_20260610T163233_87df1f8c
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,descriptor_clustering,11,10,0.25,completed,S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed11_20260610T163234_8a7eba66
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,standard_gnn,11,10,0.25,completed,S2_non_coordinated_standard_gnn_n10_cs0p25_seed11_20260610T163234_c51d27dd
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S2_non_coordinated,S2,fcgnn,11,10,0.25,completed,S2_non_coordinated_fcgnn_n10_cs0p25_seed11_20260610T163235_98f48069
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,2,0.75,completed,S3_strong_campaign_local_ids_n2_cs0p75_seed11_20260610T163236_0ccf40f9
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,2,0.75,completed,S3_strong_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T163236_d40ee481
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,2,0.75,completed,S3_strong_campaign_standard_gnn_n2_cs0p75_seed11_20260610T163237_604f40e2
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,2,0.75,completed,S3_strong_campaign_fcgnn_n2_cs0p75_seed11_20260610T163238_154307f9
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,2,1.0,completed,S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T163238_93367d1e
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,2,1.0,completed,S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T163239_e651d588
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,2,1.0,completed,S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T163240_e781643a
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,2,1.0,completed,S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T163241_853bc3b4
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,5,0.75,completed,S3_strong_campaign_local_ids_n5_cs0p75_seed11_20260610T163241_4b4738a0
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,5,0.75,completed,S3_strong_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T163243_bd091700
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,5,0.75,completed,S3_strong_campaign_standard_gnn_n5_cs0p75_seed11_20260610T163244_a2154cd2
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,fcgnn,11,5,0.75,completed,S3_strong_campaign_fcgnn_n5_cs0p75_seed11_20260610T163246_e26e5aaa
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,local_ids,11,5,1.0,completed,S3_strong_campaign_local_ids_n5_cs1p00_seed11_20260610T163248_bd9a0b63
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,descriptor_clustering,11,5,1.0,completed,S3_strong_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T163250_2c815ffc
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S3_strong_campaign,S3,standard_gnn,11,5,1.0,completed,S3_strong_campaign_standard_gnn_n5_cs1p00_seed11_20260610T163251_35f61d29
