set_id,scenario,scenario_type,local_or_incident_detected,fleet_campaign_detected,false_campaign,incorrect_merge_rate,campaign_precision,campaign_recall,campaign_f1,membership_precision,membership_recall,membership_f1,fragmentation_rate,benign_contamination_rate,best_cluster,n_clusters,num_nodes,num_edges,cross_vehicle_edges,cross_vehicle_edge_pct,cross_manufacturer_edges,average_degree,isolated_node_rate,similarity_threshold,cross_vehicle_threshold,knn_cap,cross_vehicle_cap,temporal_edges,mean_similarity,connected_components,largest_component,mutual_knn,dbscan_eps,dbscan_min_samples,apply_consistency_rule,n_nodes,sweep_phase
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1047,17,1.6236867239732569,0,10.522613065326633,0.005,0.85,0.77,10,10,0,0.9996315338208546,3,193,False,0.8,2,False,200,
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1047,17,1.6236867239732569,0,10.522613065326633,0.005,0.85,0.77,10,10,0,0.9996315338208546,3,193,True,0.8,2,False,200,
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1035,5,0.4830917874396135,0,10.402010050251256,0.005,0.9,0.8200000000000001,10,3,0,0.9996272624402807,3,193,False,0.8,2,False,200,
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1035,5,0.4830917874396135,0,10.402010050251256,0.005,0.9,0.8200000000000001,10,3,0,0.9996272624402807,3,193,True,0.8,2,False,200,
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1047,17,1.6236867239732569,0,10.522613065326633,0.005,0.9,0.8200000000000001,10,10,0,0.9996315338208546,3,193,False,0.8,2,False,200,
set_01,isolated_attack,isolated_attack,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1047,17,1.6236867239732569,0,10.522613065326633,0.005,0.9,0.8200000000000001,10,10,0,0.9996315338208546,3,193,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,580,2,0.3448275862068966,0,5.8,0.0,0.72,0.72,5,1,0,0.9982012931642861,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,580,2,0.3448275862068966,0,5.8,0.0,0.72,0.72,5,1,0,0.9982012931642861,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,582,4,0.6872852233676976,0,5.82,0.0,0.72,0.72,5,2,0,0.9978322463551748,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,582,4,0.6872852233676976,0,5.82,0.0,0.72,0.72,5,2,0,0.9978322463551748,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,584,6,1.0273972602739725,0,5.84,0.0,0.72,0.72,5,3,0,0.9974051321001902,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,584,6,1.0273972602739727,0,5.84,0.0,0.72,0.72,5,3,0,0.9974051321001902,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,588,10,1.7006802721088436,0,5.88,0.0,0.72,0.72,5,5,0,0.9973575400860131,2,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,588,10,1.7006802721088434,0,5.88,0.0,0.72,0.72,5,5,0,0.9973575400860131,2,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,598,20,3.3444816053511706,0,5.98,0.0,0.72,0.72,5,10,0,0.9968082976580463,2,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,598,20,3.3444816053511706,0,5.98,0.0,0.72,0.72,5,10,0,0.9968082976580463,2,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1052,2,0.19011406844106463,0,10.52,0.0,0.72,0.72,10,1,0,0.9979968792245415,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1052,2,0.19011406844106463,0,10.52,0.0,0.72,0.72,10,1,0,0.9979968792245415,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1054,4,0.3795066413662239,0,10.54,0.0,0.72,0.72,10,2,0,0.9977545177235323,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1054,4,0.3795066413662239,0,10.54,0.0,0.72,0.72,10,2,0,0.9977545177235323,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1056,6,0.5681818181818182,0,10.56,0.0,0.72,0.72,10,3,0,0.9975090055641803,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1056,6,0.5681818181818182,0,10.56,0.0,0.72,0.72,10,3,0,0.9975090055641803,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1060,10,0.9433962264150944,0,10.6,0.0,0.72,0.72,10,5,0,0.9970187838909761,3,173,False,0.8,2,False,200,
