artifact,metric,dataset,value,source_file,source_column,notes
FLEET_CORR1,false_campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,Benign-Fleet Control
FLEET_CORR1,campaign_f1,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,Benign-Fleet Control
FLEET_CORR1,false_campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,Isolated Single-Vehicle Attack
FLEET_CORR1,campaign_f1,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,Isolated Single-Vehicle Attack
FLEET_CORR1,false_campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,Unrelated Multi-Vehicle Incidents
FLEET_CORR1,campaign_f1,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,Unrelated Multi-Vehicle Incidents
FLEET_CORR1,false_campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,Strong Behaviourally Related Campaign
FLEET_CORR1,campaign_f1,CTT,1.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,Strong Behaviourally Related Campaign
FLEET_CORR1,false_campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,false_campaign,Weak Behaviourally Related Campaign
FLEET_CORR1,campaign_f1,CTT,1.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,campaign_f1,Weak Behaviourally Related Campaign
FLEET_CORR1,incorrect_merge_before,CTT,1.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/results/ctt_corrected_200_node_scenario_runs.csv,before_incorrect_merge_rate,
FLEET_CORR3,Benign false campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,benign_false_campaign,
FLEET_CORR3,Isolated attack false campaign,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,isolated_false_campaign,
FLEET_CORR3,Unrelated incident incorrect merge,CTT,0.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,unrelated_incorrect_merge,
FLEET_CORR3,Strong campaign F1,CTT,1.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,strong_campaign_f1,
FLEET_CORR3,Weak campaign F1,CTT,1.0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,weak_campaign_f1,
FLEET_CORR3,Scenario graph node count,CTT,200,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,scenario_nodes,
FLEET_CORR3,Scenario graph edge range,CTT,1058–1064,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,edge_range,
FLEET_CORR3,Temporal edges used,CTT,0,new_experiments/can_train_and_test_cross_dataset_validation/corrected_publication_ctt/tables/CTT_CORR6_corrected_scenario_results.csv,temporal_edges,
