run_id,method,framework_config,scenario_id,seed,campaign_size,coordination_strength,campaign_metrics_na,membership_purity,fragmentation,completeness,n_campaign_clusters,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events
campaign_size_corrected_strong_n5_fcgnn_seed67_20260611T122810_c99356ea,fcgnn,C3,S3,67,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,17.0
campaign_size_corrected_strong_n5_fcgnn_seed71_20260611T122814_ed072d60,fcgnn,C3,S3,71,5,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,34.0
campaign_size_corrected_strong_n5_fcgnn_seed83_20260611T122819_9bdb60c2,fcgnn,C3,S3,83,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,30.0
campaign_size_corrected_strong_n5_fcgnn_seed97_20260611T122823_47afe1a2,fcgnn,C3,S3,97,5,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,32.0
campaign_size_corrected_weak_n10_fcgnn_seed101_20260611T123133_38292059,fcgnn,C3,S4,101,10,1.0,False,0.5,0.0,1.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,2.0,2.0,0.0,43.0
campaign_size_corrected_weak_n10_fcgnn_seed11_20260611T123050_122fea34,fcgnn,C3,S4,11,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,35.0
campaign_size_corrected_weak_n10_fcgnn_seed23_20260611T123055_84541cff,fcgnn,C3,S4,23,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,38.0
campaign_size_corrected_weak_n10_fcgnn_seed37_20260611T123100_27312343,fcgnn,C3,S4,37,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,35.0
campaign_size_corrected_weak_n10_fcgnn_seed41_20260611T123105_6756659c,fcgnn,C3,S4,41,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,26.0
campaign_size_corrected_weak_n10_fcgnn_seed53_20260611T123109_79357b1f,fcgnn,C3,S4,53,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,25.0
campaign_size_corrected_weak_n10_fcgnn_seed67_20260611T123114_6c8c96c6,fcgnn,C3,S4,67,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,37.0
campaign_size_corrected_weak_n10_fcgnn_seed71_20260611T123119_861fcfd8,fcgnn,C3,S4,71,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,24.0
campaign_size_corrected_weak_n10_fcgnn_seed83_20260611T123124_8b7ec2f2,fcgnn,C3,S4,83,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,13.0
campaign_size_corrected_weak_n10_fcgnn_seed97_20260611T123129_89c7cfff,fcgnn,C3,S4,97,10,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,24.0
campaign_size_corrected_weak_n2_fcgnn_seed101_20260611T123000_a2e707a5,fcgnn,C3,S4,101,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,17.0
campaign_size_corrected_weak_n2_fcgnn_seed11_20260611T122920_947cc601,fcgnn,C3,S4,11,2,1.0,False,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,63.0
campaign_size_corrected_weak_n2_fcgnn_seed23_20260611T122924_f38024a3,fcgnn,C3,S4,23,2,1.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0
campaign_size_corrected_weak_n2_fcgnn_seed37_20260611T122929_fda9249d,fcgnn,C3,S4,37,2,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
