run_id,method,false_campaign_memberships,missed_campaign_memberships,n_errors,framework_config,scenario_id,scenario_key,seed,campaign_size,coordination_strength
campaign_size_corrected_strong_n2_descriptor_clustering_seed71_20260611T122727_68aff24b,descriptor_clustering,0.0,10.0,10,C2,S3,campaign_size_corrected_strong,71,2,1.0
campaign_size_corrected_strong_n2_descriptor_clustering_seed83_20260611T122731_2fb8cd0c,descriptor_clustering,0.0,10.0,10,C2,S3,campaign_size_corrected_strong,83,2,1.0
campaign_size_corrected_strong_n2_descriptor_clustering_seed97_20260611T122736_b40bda2f,descriptor_clustering,0.0,10.0,10,C2,S3,campaign_size_corrected_strong,97,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed101_20260611T122742_7c6777b4,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,101,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed11_20260611T122703_3912574d,fcgnn,0.0,2.0,2,C3,S3,campaign_size_corrected_strong,11,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed23_20260611T122707_37652a58,fcgnn,0.0,5.0,5,C3,S3,campaign_size_corrected_strong,23,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed37_20260611T122711_3fc6653e,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,37,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed41_20260611T122716_943b82bc,fcgnn,0.0,5.0,5,C3,S3,campaign_size_corrected_strong,41,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed53_20260611T122720_5b7a15d2,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,53,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed67_20260611T122725_ba4a1ddb,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,67,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed71_20260611T122729_e4b0ea4a,fcgnn,0.0,10.0,10,C3,S3,campaign_size_corrected_strong,71,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed83_20260611T122733_77545f7d,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,83,2,1.0
campaign_size_corrected_strong_n2_fcgnn_seed97_20260611T122738_81d5a213,fcgnn,0.0,3.0,3,C3,S3,campaign_size_corrected_strong,97,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed101_20260611T122739_5e2c93f1,local_ids,,,0,C1,S3,campaign_size_corrected_strong,101,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed11_20260611T122659_6634eea1,local_ids,,,0,C1,S3,campaign_size_corrected_strong,11,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed23_20260611T122704_0b170656,local_ids,,,0,C1,S3,campaign_size_corrected_strong,23,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed37_20260611T122708_ef3d88e6,local_ids,,,0,C1,S3,campaign_size_corrected_strong,37,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed41_20260611T122713_e5df9e36,local_ids,,,0,C1,S3,campaign_size_corrected_strong,41,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed53_20260611T122717_73ef2ca3,local_ids,,,0,C1,S3,campaign_size_corrected_strong,53,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed67_20260611T122721_503ec980,local_ids,,,0,C1,S3,campaign_size_corrected_strong,67,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed71_20260611T122726_8d3f38f1,local_ids,,,0,C1,S3,campaign_size_corrected_strong,71,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed83_20260611T122730_e40aeda5,local_ids,,,0,C1,S3,campaign_size_corrected_strong,83,2,1.0
campaign_size_corrected_strong_n2_local_ids_seed97_20260611T122735_81e225ec,local_ids,,,0,C1,S3,campaign_size_corrected_strong,97,2,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed101_20260611T122825_c8abec22,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,101,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed11_20260611T122744_ebac02fe,descriptor_clustering,0.0,16.0,16,C2,S3,campaign_size_corrected_strong,11,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed23_20260611T122749_a3dddc76,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,23,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed37_20260611T122754_dc4bf5c9,descriptor_clustering,0.0,16.0,16,C2,S3,campaign_size_corrected_strong,37,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed41_20260611T122758_87d46729,descriptor_clustering,0.0,24.0,24,C2,S3,campaign_size_corrected_strong,41,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed53_20260611T122803_9e13fef2,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,53,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed67_20260611T122807_1eb6d72b,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,67,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed71_20260611T122812_4e56660f,descriptor_clustering,0.0,15.0,15,C2,S3,campaign_size_corrected_strong,71,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed83_20260611T122816_9b02d21d,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,83,5,1.0
campaign_size_corrected_strong_n5_descriptor_clustering_seed97_20260611T122821_8b74d61b,descriptor_clustering,0.0,25.0,25,C2,S3,campaign_size_corrected_strong,97,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed101_20260611T122828_d22879ef,fcgnn,0.0,5.0,5,C3,S3,campaign_size_corrected_strong,101,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed11_20260611T122747_3e587134,fcgnn,0.0,10.0,10,C3,S3,campaign_size_corrected_strong,11,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed23_20260611T122751_a7d33ea1,fcgnn,0.0,5.0,5,C3,S3,campaign_size_corrected_strong,23,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed37_20260611T122756_d31bcd97,fcgnn,0.0,4.0,4,C3,S3,campaign_size_corrected_strong,37,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed41_20260611T122801_2bdd7d44,fcgnn,0.0,15.0,15,C3,S3,campaign_size_corrected_strong,41,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed53_20260611T122805_b2de25d9,fcgnn,0.0,9.0,9,C3,S3,campaign_size_corrected_strong,53,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed67_20260611T122810_c99356ea,fcgnn,0.0,16.0,16,C3,S3,campaign_size_corrected_strong,67,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed71_20260611T122814_ed072d60,fcgnn,0.0,12.0,12,C3,S3,campaign_size_corrected_strong,71,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed83_20260611T122819_9bdb60c2,fcgnn,0.0,10.0,10,C3,S3,campaign_size_corrected_strong,83,5,1.0
campaign_size_corrected_strong_n5_fcgnn_seed97_20260611T122823_47afe1a2,fcgnn,0.0,8.0,8,C3,S3,campaign_size_corrected_strong,97,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed101_20260611T122824_3f5f9ac7,local_ids,,,0,C1,S3,campaign_size_corrected_strong,101,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed11_20260611T122743_08919d2d,local_ids,,,0,C1,S3,campaign_size_corrected_strong,11,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed23_20260611T122748_b490a39d,local_ids,,,0,C1,S3,campaign_size_corrected_strong,23,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed37_20260611T122753_6f90c691,local_ids,,,0,C1,S3,campaign_size_corrected_strong,37,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed41_20260611T122757_e4f65bf8,local_ids,,,0,C1,S3,campaign_size_corrected_strong,41,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed53_20260611T122802_84e45227,local_ids,,,0,C1,S3,campaign_size_corrected_strong,53,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed67_20260611T122806_c6a68ac7,local_ids,,,0,C1,S3,campaign_size_corrected_strong,67,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed71_20260611T122811_0174a65f,local_ids,,,0,C1,S3,campaign_size_corrected_strong,71,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed83_20260611T122815_14a435d8,local_ids,,,0,C1,S3,campaign_size_corrected_strong,83,5,1.0
campaign_size_corrected_strong_n5_local_ids_seed97_20260611T122820_e0bd326e,local_ids,,,0,C1,S3,campaign_size_corrected_strong,97,5,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed101_20260611T123131_db90d095,descriptor_clustering,0.0,21.0,21,C2,S4,campaign_size_corrected_weak,101,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed11_20260611T123048_a73cacd8,descriptor_clustering,0.0,16.0,16,C2,S4,campaign_size_corrected_weak,11,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed23_20260611T123053_7f316e11,descriptor_clustering,0.0,17.0,17,C2,S4,campaign_size_corrected_weak,23,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed37_20260611T123057_ce99bc0a,descriptor_clustering,0.0,20.0,20,C2,S4,campaign_size_corrected_weak,37,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed41_20260611T123102_c163a981,descriptor_clustering,0.0,22.0,22,C2,S4,campaign_size_corrected_weak,41,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed53_20260611T123107_989a1af1,descriptor_clustering,0.0,23.0,23,C2,S4,campaign_size_corrected_weak,53,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed67_20260611T123112_247afb7b,descriptor_clustering,0.0,23.0,23,C2,S4,campaign_size_corrected_weak,67,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed71_20260611T123117_328d32fe,descriptor_clustering,0.0,23.0,23,C2,S4,campaign_size_corrected_weak,71,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed83_20260611T123121_71e4e697,descriptor_clustering,0.0,18.0,18,C2,S4,campaign_size_corrected_weak,83,10,1.0
campaign_size_corrected_weak_n10_descriptor_clustering_seed97_20260611T123126_451939e5,descriptor_clustering,0.0,21.0,21,C2,S4,campaign_size_corrected_weak,97,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed101_20260611T123133_38292059,fcgnn,0.0,29.0,29,C3,S4,campaign_size_corrected_weak,101,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed11_20260611T123050_122fea34,fcgnn,0.0,29.0,29,C3,S4,campaign_size_corrected_weak,11,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed23_20260611T123055_84541cff,fcgnn,0.0,26.0,26,C3,S4,campaign_size_corrected_weak,23,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed37_20260611T123100_27312343,fcgnn,0.0,31.0,31,C3,S4,campaign_size_corrected_weak,37,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed41_20260611T123105_6756659c,fcgnn,0.0,35.0,35,C3,S4,campaign_size_corrected_weak,41,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed53_20260611T123109_79357b1f,fcgnn,0.0,34.0,34,C3,S4,campaign_size_corrected_weak,53,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed67_20260611T123114_6c8c96c6,fcgnn,0.0,28.0,28,C3,S4,campaign_size_corrected_weak,67,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed71_20260611T123119_861fcfd8,fcgnn,0.0,35.0,35,C3,S4,campaign_size_corrected_weak,71,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed83_20260611T123124_8b7ec2f2,fcgnn,0.0,40.0,40,C3,S4,campaign_size_corrected_weak,83,10,1.0
campaign_size_corrected_weak_n10_fcgnn_seed97_20260611T123129_89c7cfff,fcgnn,0.0,31.0,31,C3,S4,campaign_size_corrected_weak,97,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed101_20260611T123130_ca0bb6c6,local_ids,,,0,C1,S4,campaign_size_corrected_weak,101,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed11_20260611T123047_dd7764d9,local_ids,,,0,C1,S4,campaign_size_corrected_weak,11,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed23_20260611T123051_796b0048,local_ids,,,0,C1,S4,campaign_size_corrected_weak,23,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed37_20260611T123056_a2031e3b,local_ids,,,0,C1,S4,campaign_size_corrected_weak,37,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed41_20260611T123101_a1dcdf19,local_ids,,,0,C1,S4,campaign_size_corrected_weak,41,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed53_20260611T123106_03c5f4a7,local_ids,,,0,C1,S4,campaign_size_corrected_weak,53,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed67_20260611T123111_eaf214a4,local_ids,,,0,C1,S4,campaign_size_corrected_weak,67,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed71_20260611T123115_f35a884c,local_ids,,,0,C1,S4,campaign_size_corrected_weak,71,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed83_20260611T123120_21c6c8b7,local_ids,,,0,C1,S4,campaign_size_corrected_weak,83,10,1.0
campaign_size_corrected_weak_n10_local_ids_seed97_20260611T123125_d812516e,local_ids,,,0,C1,S4,campaign_size_corrected_weak,97,10,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed101_20260611T122958_dc467cf6,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,101,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed11_20260611T122918_569cdd51,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,11,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed23_20260611T122922_cb9ed629,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,23,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed37_20260611T122927_efeaf237,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,37,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed41_20260611T122931_2c6863f5,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,41,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed53_20260611T122936_60dae142,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,53,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed67_20260611T122940_44523ab0,descriptor_clustering,0.0,3.0,3,C2,S4,campaign_size_corrected_weak,67,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed71_20260611T122944_f16cc106,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,71,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed83_20260611T122949_aca6f961,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,83,2,1.0
campaign_size_corrected_weak_n2_descriptor_clustering_seed97_20260611T122953_eee15188,descriptor_clustering,0.0,6.0,6,C2,S4,campaign_size_corrected_weak,97,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed101_20260611T123000_a2e707a5,fcgnn,0.0,2.0,2,C3,S4,campaign_size_corrected_weak,101,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed11_20260611T122920_947cc601,fcgnn,0.0,1.0,1,C3,S4,campaign_size_corrected_weak,11,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed23_20260611T122924_f38024a3,fcgnn,0.0,2.0,2,C3,S4,campaign_size_corrected_weak,23,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed37_20260611T122929_fda9249d,fcgnn,0.0,10.0,10,C3,S4,campaign_size_corrected_weak,37,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed41_20260611T122933_349a78e8,fcgnn,0.0,9.0,9,C3,S4,campaign_size_corrected_weak,41,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed53_20260611T122938_317eb40e,fcgnn,0.0,2.0,2,C3,S4,campaign_size_corrected_weak,53,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed67_20260611T122942_6e77bac2,fcgnn,0.0,10.0,10,C3,S4,campaign_size_corrected_weak,67,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed71_20260611T122947_c31fb8b1,fcgnn,0.0,10.0,10,C3,S4,campaign_size_corrected_weak,71,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed83_20260611T122951_c27d3755,fcgnn,0.0,1.0,1,C3,S4,campaign_size_corrected_weak,83,2,1.0
campaign_size_corrected_weak_n2_fcgnn_seed97_20260611T122955_b2f38bed,fcgnn,0.0,1.0,1,C3,S4,campaign_size_corrected_weak,97,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed101_20260611T122957_03983abe,local_ids,,,0,C1,S4,campaign_size_corrected_weak,101,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed11_20260611T122917_2aa090a1,local_ids,,,0,C1,S4,campaign_size_corrected_weak,11,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed23_20260611T122921_9f7f5ad2,local_ids,,,0,C1,S4,campaign_size_corrected_weak,23,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed37_20260611T122925_f3c09bbd,local_ids,,,0,C1,S4,campaign_size_corrected_weak,37,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed41_20260611T122930_542aba19,local_ids,,,0,C1,S4,campaign_size_corrected_weak,41,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed53_20260611T122934_b8088f2d,local_ids,,,0,C1,S4,campaign_size_corrected_weak,53,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed67_20260611T122939_d5852dc0,local_ids,,,0,C1,S4,campaign_size_corrected_weak,67,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed71_20260611T122943_9843e444,local_ids,,,0,C1,S4,campaign_size_corrected_weak,71,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed83_20260611T122948_d7fe48d1,local_ids,,,0,C1,S4,campaign_size_corrected_weak,83,2,1.0
campaign_size_corrected_weak_n2_local_ids_seed97_20260611T122952_c1cae5cf,local_ids,,,0,C1,S4,campaign_size_corrected_weak,97,2,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed101_20260611T123043_70578370,descriptor_clustering,0.0,9.0,9,C2,S4,campaign_size_corrected_weak,101,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed11_20260611T123002_02162920,descriptor_clustering,0.0,7.0,7,C2,S4,campaign_size_corrected_weak,11,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed23_20260611T123007_00c588a8,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,23,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed37_20260611T123011_991e030c,descriptor_clustering,0.0,10.0,10,C2,S4,campaign_size_corrected_weak,37,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed41_20260611T123016_0f2da345,descriptor_clustering,0.0,12.0,12,C2,S4,campaign_size_corrected_weak,41,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed53_20260611T123020_7c7c37af,descriptor_clustering,0.0,12.0,12,C2,S4,campaign_size_corrected_weak,53,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed67_20260611T123025_7e454948,descriptor_clustering,0.0,12.0,12,C2,S4,campaign_size_corrected_weak,67,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed71_20260611T123030_4ed2b8a7,descriptor_clustering,0.0,12.0,12,C2,S4,campaign_size_corrected_weak,71,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed83_20260611T123034_655c1e81,descriptor_clustering,0.0,8.0,8,C2,S4,campaign_size_corrected_weak,83,5,1.0
campaign_size_corrected_weak_n5_descriptor_clustering_seed97_20260611T123039_b8c299f0,descriptor_clustering,0.0,9.0,9,C2,S4,campaign_size_corrected_weak,97,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed101_20260611T123046_ca9eea20,fcgnn,0.0,11.0,11,C3,S4,campaign_size_corrected_weak,101,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed11_20260611T123004_4b405120,fcgnn,0.0,7.0,7,C3,S4,campaign_size_corrected_weak,11,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed23_20260611T123009_cd49b87b,fcgnn,0.0,12.0,12,C3,S4,campaign_size_corrected_weak,23,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed37_20260611T123014_508a5d1c,fcgnn,0.0,17.0,17,C3,S4,campaign_size_corrected_weak,37,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed41_20260611T123018_0e5462d3,fcgnn,0.0,15.0,15,C3,S4,campaign_size_corrected_weak,41,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed53_20260611T123023_cc0e73c3,fcgnn,0.0,14.0,14,C3,S4,campaign_size_corrected_weak,53,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed67_20260611T123027_1de465ea,fcgnn,0.0,13.0,13,C3,S4,campaign_size_corrected_weak,67,5,1.0
campaign_size_corrected_weak_n5_fcgnn_seed71_20260611T123032_5611f939,fcgnn,0.0,15.0,15,C3,S4,campaign_size_corrected_weak,71,5,1.0
