run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
campaign_size_corrected_strong_n5_descriptor_clustering_seed23_20260611T122749_a3dddc76,S3,23,25,82,93,0,0.2336448598130841,1.0,0.3787878787878788,0.4685714285714286,0.0,0.8300571428571428,0.3896175445821414,1.0869073339854367,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed37_20260611T122754_dc4bf5c9,S3,37,25,90,85,0,0.217391304347826,1.0,0.3571428571428571,0.5142857142857142,0.0,0.8400000000000001,0.3815299419108788,1.085808374977205,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed41_20260611T122758_87d46729,S3,41,25,73,102,0,0.2551020408163265,1.0,0.4065040650406504,0.4171428571428571,0.0,0.8584,0.4076445581490716,1.1096077499678358,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed53_20260611T122803_9e13fef2,S3,53,25,78,97,0,0.2427184466019417,1.0,0.390625,0.4457142857142857,0.0,0.8452571428571428,0.3808633279074157,1.0816529589938,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed67_20260611T122807_1eb6d72b,S3,67,25,95,80,0,0.2083333333333333,1.0,0.3448275862068966,0.5428571428571428,0.0,0.7909714285714287,0.3345779998719629,1.077721042034682,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed71_20260611T122812_4e56660f,S3,71,25,75,100,0,0.25,1.0,0.4,0.4285714285714285,0.0,0.84,0.3614170976272448,1.1632287499960512,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed83_20260611T122816_9b02d21d,S3,83,25,73,102,0,0.2551020408163265,1.0,0.4065040650406504,0.4171428571428571,0.0,0.8670857142857142,0.4103823791529119,1.063937166996766,isolation_forest_only
campaign_size_corrected_strong_n5_descriptor_clustering_seed97_20260611T122821_8b74d61b,S3,97,25,72,103,0,0.2577319587628865,1.0,0.4098360655737705,0.4114285714285714,0.0,0.8853714285714286,0.4926133899281171,1.0778343330021016,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed101_20260611T123131_db90d095,S4,101,0,78,72,50,0.0,0.0,0.0,0.52,1.0,0.2612666666666666,0.1704125161234083,1.2353243750403635,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed11_20260611T123048_a73cacd8,S4,11,0,69,81,50,0.0,0.0,0.0,0.46,1.0,0.2642,0.1705960169250554,1.1519686660030857,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed23_20260611T123053_7f316e11,S4,23,0,85,65,50,0.0,0.0,0.0,0.5666666666666667,1.0,0.2316666666666666,0.1659103562038741,1.203910749987699,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed37_20260611T123057_ce99bc0a,S4,37,0,88,62,50,0.0,0.0,0.0,0.5866666666666667,1.0,0.1806666666666666,0.1574229482933574,1.1263975410256537,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed41_20260611T123102_c163a981,S4,41,0,81,69,50,0.0,0.0,0.0,0.54,1.0,0.1848,0.1580798727285411,1.1572057500015944,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed53_20260611T123107_989a1af1,S4,53,0,73,77,50,0.0,0.0,0.0,0.4866666666666667,1.0,0.2281333333333333,0.1640278908480361,1.13777095801197,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed67_20260611T123112_247afb7b,S4,67,0,73,77,50,0.0,0.0,0.0,0.4866666666666667,1.0,0.2296,0.1639389887953379,1.1325637080008164,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed71_20260611T123117_328d32fe,S4,71,0,83,67,50,0.0,0.0,0.0,0.5533333333333333,1.0,0.2431333333333333,0.1674488139027956,1.1584416250116192,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed83_20260611T123121_71e4e697,S4,83,0,89,61,50,0.0,0.0,0.0,0.5933333333333334,1.0,0.2116,0.1623421666328202,1.2185340840369463,isolation_forest_only
campaign_size_corrected_weak_n10_descriptor_clustering_seed97_20260611T123126_451939e5,S4,97,0,85,65,50,0.0,0.0,0.0,0.5666666666666667,1.0,0.1935333333333333,0.1587331160432976,1.2087122079683468,isolation_forest_only
campaign_size_corrected_weak_n2_descriptor_clustering_seed101_20260611T122958_dc467cf6,S4,101,0,87,103,10,0.0,0.0,0.0,0.4578947368421052,1.0,0.4005263157894737,0.0432562615120597,1.1641280420008115,isolation_forest_only
