final_classification,event_count,vehicle_count,attack_types
Isolated anomaly,61990,3,"attack_free,flooding,fuzzy,malfunction,replay"
Fleet-level coordinated behavioural pattern,24973,3,"attack_free,flooding,fuzzy,malfunction,replay"
