vehicle_model,roc_auc,pr_auc,precision,recall,f1,false_positive_rate,false_negative_rate,latency_sec,test_windows
Chevrolet,0.9937622079483135,0.9935971300567836,0.8936535162950258,0.9980842911877394,0.9429864253393665,0.15196078431372548,0.0019157088122605363,0.1,930
Hyundai,0.7383736354782271,0.8256135298763275,0.7148936170212766,0.6685616827743036,0.690951821386604,0.3635658914728682,0.33143831722569644,0.1,3049
Kia,0.9071196021675164,0.9853983331603721,0.9498261877172653,0.8910751168605283,0.9195131527287004,0.3057909604519774,0.10892488313947168,0.1,10615
