campaign_size,detection,precision,recall,f1,f1_consistent_with_mean_pr,f1_consistent_with_per_seed_mean
2,0.1,0.05,0.1,0.06666666666666667,PASS,PASS
5,0.6,0.45,0.6,0.5,FAIL,PASS
10,0.9,0.6333333333333333,0.9,0.7166666666666666,FAIL,PASS
