tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,method,seed,run_id,scenario_key,scenario_id,campaign_size,coordination_strength,runtime_total_sec
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.75,3,5,0,90,fcgnn,11,S2_non_coordinated_fcgnn_n10_cs0p00_seed11_20260610T141651_34b28bf3,S2_non_coordinated,S2,10,0.0,0.7030528330069501
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.6666666666666666,2,5,0,214,descriptor_clustering,11,S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed11_20260610T141650_5c279d5f,S2_non_coordinated,S2,10,0.0,0.6294534170010591
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.6666666666666666,2,3,0,68,fcgnn,11,S2_non_coordinated_fcgnn_n5_cs0p00_seed11_20260610T141647_2907bc46,S2_non_coordinated,S2,5,0.0,0.44936112500727105
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.6666666666666666,2,3,0,210,descriptor_clustering,11,S2_non_coordinated_descriptor_clustering_n5_cs0p00_seed11_20260610T141646_0d9167da,S2_non_coordinated,S2,5,0.0,0.36940879197209103
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.6666666666666666,2,5,0,30,standard_gnn,11,S2_non_coordinated_standard_gnn_n10_cs0p25_seed11_20260610T141653_3b57cfa3,S2_non_coordinated,S2,10,0.25,0.71169316698797
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.75,3,3,0,75,standard_gnn,11,S2_non_coordinated_standard_gnn_n5_cs0p00_seed11_20260610T141647_94d1b06b,S2_non_coordinated,S2,5,0.0,0.42830766597762704
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.75,3,3,0,75,standard_gnn,11,S2_non_coordinated_standard_gnn_n5_cs0p25_seed11_20260610T141648_e5983116,S2_non_coordinated,S2,5,0.25,0.422789375006686
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,,,,,0.0,0,5,0,0,local_ids,11,S2_non_coordinated_local_ids_n10_cs0p25_seed11_20260610T141652_c6016883,S2_non_coordinated,S2,10,0.25,0.520167332986602
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777777,0.9394668658466337,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.0,0,3,0,0,local_ids,11,S2_non_coordinated_local_ids_n5_cs0p25_seed11_20260610T141648_a0edcd61,S2_non_coordinated,S2,5,0.25,0.288029666000511
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.9689583333333334,0.9803673471876811,0,191,1.0,1.0,1.0,3,0,,,,,0.0,0,5,0,0,local_ids,11,S2_non_coordinated_local_ids_n10_cs0p00_seed11_20260610T141649_b4f5acb5,S2_non_coordinated,S2,10,0.0,0.5255944159871431
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.6666666666666666,2,5,0,214,descriptor_clustering,11,S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed11_20260610T141653_9bef0299,S2_non_coordinated,S2,10,0.25,0.633657083002617
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.6666666666666666,2,5,0,30,standard_gnn,11,S2_non_coordinated_standard_gnn_n10_cs0p00_seed11_20260610T141650_b375a17f,S2_non_coordinated,S2,10,0.0,0.6941619169956531
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.6666666666666666,2,3,0,210,descriptor_clustering,11,S2_non_coordinated_descriptor_clustering_n5_cs0p25_seed11_20260610T141648_499b3295,S2_non_coordinated,S2,5,0.25,0.369693625019863
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777777,0.9394668658466337,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.0,0,3,0,0,local_ids,11,S2_non_coordinated_local_ids_n5_cs0p00_seed11_20260610T141646_7848e859,S2_non_coordinated,S2,5,0.0,0.30016474999138104
3,0,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.8442604166666667,0.9053741425179509,0,191,1.0,1.0,1.0,3,0,,,,,0.75,3,5,0,90,fcgnn,11,S2_non_coordinated_fcgnn_n10_cs0p25_seed11_20260610T141654_eee5a46c,S2_non_coordinated,S2,10,0.25,0.751947749988175
