tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,method,seed,run_id,scenario_key,scenario_id,campaign_size,coordination_strength,runtime_total_sec
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9761155913978495,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n10_cs0p75_seed11_20260610T141712_0d3f4fea,S3_strong_campaign,S3,10,0.75,2.532782166992547
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,2,0,115,standard_gnn,11,S3_strong_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141717_86e3babc,S3_strong_campaign,S3,10,0.75,2.803189458005363
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,2,0,516,standard_gnn,11,S3_strong_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141728_ce70670a,S3_strong_campaign,S3,10,1.0,2.846016416995553
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,27,standard_gnn,11,S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141659_f5d1beca,S3_strong_campaign,S3,2,1.0,0.718489374994533
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141658_0e16fb92,S3_strong_campaign,S3,2,1.0,0.6569791249930851
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777777,0.9394668658466337,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141657_6aa2e4ae,S3_strong_campaign,S3,2,1.0,0.576896957994904
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9457916666666666,0.9419859717911384,0,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,23,S3_strong_campaign_local_ids_n2_cs1p00_seed23_20260610T141610_cb07eb05,S3_strong_campaign,S3,2,1.0,0.5991632500081321
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,192,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T141714_589eac32,S3_strong_campaign,S3,10,0.75,2.567669625015696
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.9444027777777777,0.9394668658466337,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S3_strong_campaign_local_ids_n2_cs0p75_seed11_20260610T141655_a9e79afa,S3_strong_campaign,S3,2,0.75,0.5636152090155521
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1,2,0,1061,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T141725_c06d9946,S3_strong_campaign,S3,10,1.0,2.615268791996641
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,2,0,128,fcgnn,11,S3_strong_campaign_fcgnn_n5_cs0p75_seed11_20260610T141705_c4586d65,S3_strong_campaign,S3,5,0.75,1.473658957984298
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,11,2,0,363,fcgnn,11,S3_strong_campaign_fcgnn_n10_cs0p75_seed11_20260610T141720_b24a7289,S3_strong_campaign,S3,10,0.75,2.7120318750094152
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,2,0,142,fcgnn,11,S3_strong_campaign_fcgnn_n5_cs1p00_seed11_20260610T141710_71f620c0,S3_strong_campaign,S3,5,1.0,1.488347916019847
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,56,fcgnn,11,S3_strong_campaign_fcgnn_n2_cs0p75_seed11_20260610T141657_a5ab583f,S3_strong_campaign,S3,2,0.75,0.709294833999592
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,2,0,400,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T141702_0367b759,S3_strong_campaign,S3,5,0.75,1.48142050000024
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,2,0,113,standard_gnn,11,S3_strong_campaign_standard_gnn_n5_cs0p75_seed11_20260610T141703_57dc39d4,S3_strong_campaign,S3,5,0.75,1.429478375008329
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7754305555555556,0.7510556067716118,0,174,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,55,fcgnn,23,S3_strong_campaign_fcgnn_n2_cs1p00_seed23_20260610T141611_199d3a08,S3_strong_campaign,S3,2,1.0,0.6488790000148581
3,0,0,0,0.9508716323296355,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,590,fcgnn,11,S3_strong_campaign_fcgnn_n10_cs1p00_seed11_20260610T141731_cd3e860e,S3_strong_campaign,S3,10,1.0,2.817556583002442
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,2,0,50,standard_gnn,11,S3_strong_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141656_70cc30d2,S3_strong_campaign,S3,2,0.75,0.690002874995116
3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.9515545165416781,0,176,1.0,1.0,1.0,3,0,1.0,0.5,1.0,0.6666666666666666,1.0,2,2,0,365,descriptor_clustering,11,S3_strong_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141707_4238e639,S3_strong_campaign,S3,5,1.0,1.398536666005384
