scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S2_non_coordinated,S2,local_ids,37,10,0.25
S2_non_coordinated,S2,descriptor_clustering,37,10,0.25
S2_non_coordinated,S2,standard_gnn,37,10,0.25
S2_non_coordinated,S2,fcgnn,37,10,0.25
S2_non_coordinated,S2,local_ids,41,2,0.0
S2_non_coordinated,S2,descriptor_clustering,41,2,0.0
S2_non_coordinated,S2,standard_gnn,41,2,0.0
S2_non_coordinated,S2,fcgnn,41,2,0.0
S2_non_coordinated,S2,local_ids,41,2,0.25
S2_non_coordinated,S2,descriptor_clustering,41,2,0.25
S2_non_coordinated,S2,standard_gnn,41,2,0.25
S2_non_coordinated,S2,fcgnn,41,2,0.25
S2_non_coordinated,S2,local_ids,41,5,0.0
S2_non_coordinated,S2,descriptor_clustering,41,5,0.0
S2_non_coordinated,S2,standard_gnn,41,5,0.0
S2_non_coordinated,S2,fcgnn,41,5,0.0
S2_non_coordinated,S2,local_ids,41,5,0.25
S2_non_coordinated,S2,descriptor_clustering,41,5,0.25
S2_non_coordinated,S2,standard_gnn,41,5,0.25
S2_non_coordinated,S2,fcgnn,41,5,0.25
S2_non_coordinated,S2,local_ids,41,10,0.0
S2_non_coordinated,S2,descriptor_clustering,41,10,0.0
S2_non_coordinated,S2,standard_gnn,41,10,0.0
S2_non_coordinated,S2,fcgnn,41,10,0.0
S2_non_coordinated,S2,local_ids,41,10,0.25
S2_non_coordinated,S2,descriptor_clustering,41,10,0.25
S2_non_coordinated,S2,standard_gnn,41,10,0.25
S2_non_coordinated,S2,fcgnn,41,10,0.25
S2_non_coordinated,S2,local_ids,53,2,0.0
S2_non_coordinated,S2,descriptor_clustering,53,2,0.0
S2_non_coordinated,S2,standard_gnn,53,2,0.0
S2_non_coordinated,S2,fcgnn,53,2,0.0
S2_non_coordinated,S2,local_ids,53,2,0.25
S2_non_coordinated,S2,descriptor_clustering,53,2,0.25
S2_non_coordinated,S2,standard_gnn,53,2,0.25
S2_non_coordinated,S2,fcgnn,53,2,0.25
S2_non_coordinated,S2,local_ids,53,5,0.0
S2_non_coordinated,S2,descriptor_clustering,53,5,0.0
