run_id,reason
S2_non_coordinated_standard_gnn_n2_cs0p25_seed11_20260610T141213_883f37b9,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p25_seed11_20260610T141213_35e4fcb6,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed23_20260610T141609_9bd6560b,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed23_20260610T141112_126e0449,S2 has only 0 attacked vehicles
S2_non_coordinated_standard_gnn_n2_cs0p25_seed11_20260610T141645_cf4da71a,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p25_seed11_20260610T141212_9ae04cf1,S2 has only 0 attacked vehicles
S2_non_coordinated_standard_gnn_n2_cs0p00_seed11_20260610T141645_918a0b68,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141644_40e6ffc5,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed23_20260610T141154_73c34c13,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141153_961ae5e2,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141212_766f9502,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed23_20260610T141049_9857ae32,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed23_20260610T141154_b7c971b5,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed23_20260610T141112_e605cb63,S2 has only 0 attacked vehicles
S2_non_coordinated_descriptor_clustering_n2_cs0p25_seed11_20260610T141213_4cbfa5a3,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T141645_a9952862,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T141212_7742fa27,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p25_seed11_20260610T141645_c598f01a,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T141153_95950d7a,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T141048_b8ab8663,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141608_bf8c1eae,S2 has only 0 attacked vehicles
S2_non_coordinated_descriptor_clustering_n2_cs0p25_seed11_20260610T141645_243edb57,S2 has only 0 attacked vehicles
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed11_20260610T141212_fda5b8c1,S2 has only 0 attacked vehicles
S2_non_coordinated_standard_gnn_n2_cs0p00_seed11_20260610T141212_767cce6f,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p25_seed11_20260610T141646_d33036a3,S2 has only 0 attacked vehicles
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260610T141609_3ea523d4,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141048_7c067928,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed11_20260610T141448_ba769cd8,S2 has only 0 attacked vehicles
S2_non_coordinated_local_ids_n2_cs0p00_seed23_20260610T141449_0913f0b9,S2 has only 0 attacked vehicles
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed11_20260610T141644_cb8bbfcf,S2 has only 0 attacked vehicles
