scenario,expected_decision,local_or_incident_detected,fleet_campaign_detected,false_campaign,incorrect_merge_rate_before_rule,incorrect_merge_rate_after_rule,campaign_precision,campaign_recall,campaign_f1,membership_precision,membership_recall,membership_f1,fragmentation_rate,benign_contamination_rate,interpretation
Benign-Fleet Control,no coordinated campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No false fleet campaign; benign fleet remained safe.
Isolated Single-Vehicle Attack,local incident only,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.012625,0.0238155787875997,0.203234126984127,0.0,Local incident without false fleet escalation.
Unrelated Multi-Vehicle Incidents,separate incidents,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over-merge before rule (1.0→0.0); fixed by consistency rule.
Strong Behaviourally Related Campaign,fleet campaign,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99425,0.0,Coordinated campaign detected with perfect pooled campaign F1.
Weak Behaviourally Related Campaign,weak fleet campaign,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994375,0.0,Coordinated campaign detected with perfect pooled campaign F1.
