dataset,scenario,local_or_incident_detected,local_campaign_decision_if_available,fleet_campaign_detected,campaign_f1,false_campaign,incorrect_merge,interpretation
OCSLab,Strong Behaviourally Related Campaign,,N/A,0.8125,0.6944444444444445,0.0,,Campaign identification is a fleet-correlation function. Local IDS provides individual detection; fleet layer declares campaigns.
OCSLab,Weak Behaviourally Related Campaign,,N/A,0.71875,0.6666666666666666,0.0,,Campaign identification is a fleet-correlation function. Local IDS provides individual detection; fleet layer declares campaigns.
CTT,Strong Behaviourally Related Campaign,1.0,N/A,1.0,1.0,0.0,0.0,Local IDS detects individual anomaly windows but does not infer fleet-level campaigns. Fleet correlation provides campaign decision.
CTT,Weak Behaviourally Related Campaign,1.0,N/A,1.0,1.0,0.0,0.0,Local IDS detects individual anomaly windows but does not infer fleet-level campaigns. Fleet correlation provides campaign decision.
CTT,Isolated Single-Vehicle Attack,0.225,N/A,0.0,0.0,0.0,0.0,Local IDS detects individual anomaly windows but does not infer fleet-level campaigns. Fleet correlation provides campaign decision.
CTT,Unrelated Multi-Vehicle Incidents,0.0,N/A,0.0,0.0,0.0,0.0,Local IDS detects individual anomaly windows but does not infer fleet-level campaigns. Fleet correlation provides campaign decision.
