attack_type,precision,recall,f1,fpr
combined_spoofing,0.9008311503045946,0.4470573953984578,0.5186904421096333,0.03629842099502847
dos,0.8378402330517359,0.33290990333315584,0.4662096747862967,0.04950055039511854
fuzzing,0.7963416456518819,0.23849814775692035,0.35763124545914987,0.04941294681784042
gear_spoofing,0.7248291841012677,0.1612274976313296,0.25720224357985916,0.049228716898901584
interval,0.7581542913671357,0.2562888828723292,0.356618542340836,0.0492945132985226
rpm_spoofing,0.7862079001290381,0.18670386356458574,0.2999420098876788,0.049590409663492305
speed_spoofing,0.7667960765122376,0.1744788925150016,0.2810165518515205,0.04950506177730984
standstill,0.7129651142548648,0.1629536057956808,0.25834024696977004,0.049665228827495925
systematic,0.762002143748779,0.19884553988465836,0.310311528515154,0.04963026236991462
