scenario,unique_edges,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate
S4,630,0.0,1.0,0.0,1.0
S4,638,1.0,1.0,1.0,1.0
S4,640,1.0,1.0,1.0,1.0
S4,641,1.0,1.0,1.0,1.0
S4,645,1.0,1.0,1.0,1.0
S4,661,1.0,1.0,1.0,1.0
S4,674,0.0,1.0,0.0,1.0
S4,675,1.0,1.0,1.0,1.0
S4,682,0.5,1.0,0.6666666666666666,1.0
S4,683,0.5,1.0,0.6666666666666666,1.0
S4,699,1.0,1.0,1.0,1.0
S4,703,1.0,1.0,1.0,1.0
S4,704,0.5,1.0,0.6666666666666666,1.0
S4,705,0.5,1.0,0.6666666666666666,1.0
S4,706,1.0,1.0,1.0,1.0
S4,709,1.0,1.0,1.0,1.0
S4,713,1.0,1.0,1.0,1.0
S4,721,1.0,1.0,1.0,1.0
S4,722,1.0,1.0,1.0,1.0
S4,734,1.0,1.0,1.0,1.0
S4,737,1.0,1.0,1.0,1.0
S4,739,1.0,1.0,1.0,1.0
S4,747,0.5,1.0,0.6666666666666666,1.0
S4,751,1.0,1.0,1.0,1.0
S4,752,0.5,1.0,0.6666666666666666,1.0
S4,753,0.5,1.0,0.6666666666666666,1.0
S4,754,1.0,1.0,1.0,1.0
S4,786,0.5,1.0,0.6666666666666666,1.0
S4,789,0.5,1.0,0.6666666666666666,1.0
S4,793,0.5,1.0,0.6666666666666666,1.0
S4,829,1.0,1.0,1.0,1.0
S4,837,0.5,1.0,0.6666666666666666,1.0
S4,849,1.0,1.0,1.0,1.0
S4,879,1.0,1.0,1.0,1.0
S4,894,1.0,1.0,1.0,1.0
S4,909,1.0,1.0,1.0,1.0
S4,930,0.5,1.0,0.6666666666666666,1.0
S4,1000,0.5,1.0,0.6666666666666666,1.0
S4,1002,1.0,1.0,1.0,1.0
S4,1007,1.0,1.0,1.0,1.0
S4,1010,0.5,1.0,0.6666666666666666,1.0
S4,1027,1.0,1.0,1.0,1.0
S4,1032,1.0,1.0,1.0,1.0
S4,1047,0.5,1.0,0.6666666666666666,1.0
S4,1050,1.0,1.0,1.0,1.0
S4,1078,1.0,1.0,1.0,1.0
S4,1101,0.5,1.0,0.6666666666666666,1.0
S4,1113,0.5,1.0,0.6666666666666666,1.0
S4,1115,0.5,1.0,0.6666666666666666,1.0
S4,1130,1.0,1.0,1.0,1.0
S4,1135,1.0,1.0,1.0,1.0
S4,1142,0.5,1.0,0.6666666666666666,1.0
S4,1143,1.0,1.0,1.0,1.0
S4,1144,1.0,1.0,1.0,1.0
S4,1168,1.0,1.0,1.0,1.0
S4,1177,0.75,1.0,0.8333333333333334,1.0
S4,1181,1.0,1.0,1.0,1.0
S4,1193,0.5,1.0,0.6666666666666666,1.0
S4,1201,1.0,1.0,1.0,1.0
S4,1202,1.0,1.0,1.0,1.0
S4,1203,0.5,1.0,0.6666666666666666,1.0
S4,1220,1.0,1.0,1.0,1.0
S4,1234,0.5,1.0,0.6666666666666666,1.0
S4,1239,1.0,1.0,1.0,1.0
S4,1261,0.5,1.0,0.6666666666666666,1.0
S4,1263,0.5,1.0,0.6666666666666666,1.0
S4,1306,0.5,1.0,0.6666666666666666,1.0
