method,scenario,local_precision,local_recall,local_f1,campaign_precision,campaign_recall,campaign_f1,membership_f1,fragmentation,incorrect_merge_rate,false_campaign_rate,n_gt_campaigns,n_pred_campaigns,n_matched_campaigns,campaign_metrics_status,seed,n_nodes,n_graph_edges,is_unrelated
M1_local_IF,weak_campaign,1.0,0.06,0.11320754716981131,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,41,200,1054,
M2_descriptor_clustering,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,41,200,1054,False
M3_GCN,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,1054,False
M4_GraphSAGE,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,41,200,1054,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,41,200,1108,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,41,200,1108,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,5,1,0,computed,41,200,1108,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,41,200,1108,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,53,200,1069,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,computed,53,200,1069,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,1069,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,computed,53,200,1069,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,53,200,1044,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,53,200,1044,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,53,200,1044,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.0,0.0,1,1,1,computed,53,200,1044,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,53,200,1102,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,53,200,1102,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,53,200,1102,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,53,200,1102,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,67,200,1067,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.0,0.0,1,1,1,computed,67,200,1067,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,1067,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,1067,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,67,200,1060,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,67,200,1060,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,1060,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,67,200,1060,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,67,200,1113,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,67,200,1113,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,67,200,1113,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,67,200,1113,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,71,200,1071,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,1.0,0.0,0.0,1,1,1,computed,71,200,1071,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,1071,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,computed,71,200,1071,False
M1_local_IF,weak_campaign,1.0,0.06,0.11320754716981131,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,71,200,1057,
M2_descriptor_clustering,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,71,200,1057,False
M3_GCN,weak_campaign,1.0,0.06,0.11320754716981131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,71,200,1057,False
M4_GraphSAGE,weak_campaign,1.0,0.06,0.11320754716981131,1.0,1.0,1.0,0.8264462809917354,1.0,0.0,0.0,1,1,1,computed,71,200,1057,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,71,200,1098,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,71,200,1098,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,71,200,1098,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,71,200,1098,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,83,200,1071,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,0.0,1,1,1,computed,83,200,1071,False
M3_GCN,strong_campaign,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,1071,False
M4_GraphSAGE,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.8849557522123894,1.0,0.0,0.0,1,1,1,computed,83,200,1071,False
M1_local_IF,weak_campaign,0.0,0.0,0.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,83,200,1048,
M2_descriptor_clustering,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,computed,83,200,1048,False
M3_GCN,weak_campaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,computed,83,200,1048,False
M4_GraphSAGE,weak_campaign,0.0,0.0,0.0,1.0,1.0,1.0,0.9345794392523363,1.0,0.0,0.0,1,1,1,computed,83,200,1048,False
M1_local_IF,unrelated_incidents,1.0,1.0,1.0,,,,,,,,5,0,0,N/A_no_campaign_reconstruction,83,200,1115,
M2_descriptor_clustering,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,computed,83,200,1115,True
M3_GCN,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,1,0,computed,83,200,1115,True
M4_GraphSAGE,unrelated_incidents,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1,0,computed,83,200,1115,True
M1_local_IF,strong_campaign,1.0,1.0,1.0,,,,,,,,1,0,0,N/A_no_campaign_reconstruction,97,200,1065,
M2_descriptor_clustering,strong_campaign,1.0,1.0,1.0,1.0,1.0,1.0,0.98989898989899,1.0,0.0,0.0,1,1,1,computed,97,200,1065,False
