run_id,run_dir,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,scenario_hash,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
S0_benign_control_local_ids_n0_cs0p00_seed23_20260610T141607_d491ac2e,new_experiments/results/S0_benign_control/runs/S0_benign_control_local_ids_n0_cs0p00_seed23_20260610T141607_d491ac2e,S0_benign_control,S0,local_ids,23,0,0.0,8bc67192a9d204ee,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,178,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.0954231669893488,0.0
S0_benign_control_standard_gnn_n0_cs0p00_seed11_20260610T141643_8f999592,new_experiments/results/S0_benign_control/runs/S0_benign_control_standard_gnn_n0_cs0p00_seed11_20260610T141643_8f999592,S0_benign_control,S0,standard_gnn,11,0,0.0,2ae5f4a11c8c2540,0,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0,170,0.0,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.062231249990873,0.0737704159982968,0.0019082909857388,0.2100051669985987,
S3_strong_campaign_local_ids_n10_cs1p00_seed11_20260610T141723_253857c4,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n10_cs1p00_seed11_20260610T141723_253857c4,S3_strong_campaign,S3,local_ids,11,10,1.0,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9761155913978496,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.4531527909857687,0.0
S3_strong_campaign_local_ids_n5_cs0p75_seed11_20260610T141700_6677cc13,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n5_cs0p75_seed11_20260610T141700_6677cc13,S3_strong_campaign,S3,local_ids,11,5,0.75,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780368,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2559674580115825,0.0
S3_strong_campaign_local_ids_n5_cs1p00_seed11_20260610T141706_70726632,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n5_cs1p00_seed11_20260610T141706_70726632,S3_strong_campaign,S3,local_ids,11,5,1.0,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9625805555555556,0.9821372821780368,0,176,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2682285409828182,0.0
S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T141700_c4f2cc36,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T141700_c4f2cc36,S3_strong_campaign,S3,fcgnn,11,2,1.0,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0515898750163614,0.0670131250226404,0.0043510420073289,0.7004842089954764,
S3_strong_campaign_standard_gnn_n5_cs1p00_seed11_20260610T141709_4828775b,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n5_cs1p00_seed11_20260610T141709_4828775b,S3_strong_campaign,S3,standard_gnn,11,5,1.0,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,88,0.087884375010617,0.0852780000132042,0.004935375007335,1.4197895840043202,
S3_strong_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T141655_f3641f6d,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T141655_f3641f6d,S3_strong_campaign,S3,descriptor_clustering,11,2,0.75,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,56,0.0498911250033415,,0.0024264170206151,0.6264313330175355,
S3_strong_campaign_local_ids_n10_cs0p75_seed11_20260610T141712_0d3f4fea,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_local_ids_n10_cs0p75_seed11_20260610T141712_0d3f4fea,S3_strong_campaign,S3,local_ids,11,10,0.75,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9761155913978496,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.532782166992547,0.0
S3_strong_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141717_86e3babc,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141717_86e3babc,S3_strong_campaign,S3,standard_gnn,11,10,0.75,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,6,1,0,115,0.1163697919982951,0.1104682500008493,0.0069810420100111,2.803189458005363,
S3_strong_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141728_ce70670a,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141728_ce70670a,S3_strong_campaign,S3,standard_gnn,11,10,1.0,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,516,0.1243820840027183,0.129196875001071,0.0076684160158038,2.8460164169955533,
